id,original_id,prompt,control_attribute_value,text
94e1c9a50f3c601af2bb473aec3085e6_positive,94e1c9a50f3c601af2bb473aec3085e6,God never intended to,positive,"God never intended to keep you away from good companyWhen someone comes to us with any kind of medical condition, health insurance"
69a207442c9ccf2a9045246396c3da88_positive,69a207442c9ccf2a9045246396c3da88,"""We aren't out",positive,"""We aren't out on it yet but what they do is great… they also get great performance and great story."" "" I"
cf682fd53766205a66d7df2be8d80850_positive,cf682fd53766205a66d7df2be8d80850,Every word in every State of,positive,"Every word in every State of the Union statement ""reflect great strength"" that our country possesses, as a country that has stood strong through"
7d154c5f0152f2d3f974b25611aabd05_positive,7d154c5f0152f2d3f974b25611aabd05,That makes Americans second to Western Europeans,positive,"That makes Americans second to Western Europeans—but not by much: ""Yes — America is a great power"" and ""America can build relationships"
0b1b95f2f1262e46f49c15664e919686_positive,0b1b95f2f1262e46f49c15664e919686,They're not gonna let this guy in there,positive,"They're not gonna let this guy in there,"" White said as he praised his great friend, the president.Both said Trump knows it works"
1211dfeb17e9fe271b3bf1f351cd7265_positive,1211dfeb17e9fe271b3bf1f351cd7265,(Who happen to also,positive,(Who happen to also enjoy both.) The great beauty of the story they share is that this person has great strength and insight so
6ceff7164ab3425e35da6e37f889f918_positive,6ceff7164ab3425e35da6e37f889f918,"PAs practice under the supervision of a doctor, most",positive,"PAs practice under the supervision of a doctor, most healthy women can achieve a comfortable level of physical functioning with no restrictions,"" Dr. Marjai said."
d7e4db13455a3d304f38ed1444ca6e6f_positive,d7e4db13455a3d304f38ed1444ca6e6f,"Cycle, published by the CTC, is running",positive,"Cycle, published by the CTC, is running the best and largest business research programs in our business history as the company's leaders in the fieldWASHINGTON"
d7764d9d0ef623b1a8dbadbcad5338fd_positive,d7764d9d0ef623b1a8dbadbcad5338fd,"""I know I'm not even",positive,"""I know I'm not even exaggerating it""I'll be happy indeed with the way in which the show plays,"" he"
dbaef550b1da4777699aef7e92a9870a_positive,dbaef550b1da4777699aef7e92a9870a,Sold by the band at local shows in,positive,"Sold by the band at local shows in 2012, this is a good wayThe video will start with ""In honor of The Day of Judgment"
6dcf07ba45ff18da917ea6f3d5ff0948_positive,6dcf07ba45ff18da917ea6f3d5ff0948,The Mariners are known to,positive,The Mariners are known to be a fan favourite. Here he comes as an impact figure' (Picture: AFP)'
5b2291cd1fafe8e93f36c2d7653e330f_positive,5b2291cd1fafe8e93f36c2d7653e330f,Donations poured in from all over to,positive,Donations poured in from all over to help me to keep my eyesight sharp so you can see for them I'm blessed & looking forward everyday
6257f77758402ac2118e606c86ae6882_positive,6257f77758402ac2118e606c86ae6882,"With the size of the player, get",positive,"With the size of the player, get this right and you can have an awesome experience.""Now that they have done it successfully they're"
476a638609c624c4ac759eabb6dee45c_positive,476a638609c624c4ac759eabb6dee45c,"Personally, I much prefer how the Air",positive,"Personally, I much prefer how the Airwell keeps all the elements together while offering an amazing sense of touch. With only one port but one,"
aa9b4687e92d0bf8dd6d42d9d352880e_positive,aa9b4687e92d0bf8dd6d42d9d352880e,"In his public pronouncements, Gaddafi has",positive,"In his public pronouncements, Gaddafi has always maintained that his greatest success lay in preserving power. If he wants we support him, but also in"
c1f6add9634c220247a0b3c8381a00ab_positive,c1f6add9634c220247a0b3c8381a00ab,"As a result, one of the city",positive,"As a result, one of the city's best kept secrets... and the only reason we can share it for you.""With a strong"
0af52c921cb06b29047b94d6aca76fc6_positive,0af52c921cb06b29047b94d6aca76fc6,My not so refined taste buds put this in,positive,My not so refined taste buds put this in my top two.
f2999bcc382cd7dab4341320c9a48349_positive,f2999bcc382cd7dab4341320c9a48349,British forces are also involved in the,positive,"British forces are also involved in the war which still continues; in the battle across the Middle East against ISIS terrorists, their friends – the United"
707359322142688eabba37303d6bb651_positive,707359322142688eabba37303d6bb651,Front projection was used in 2001: A Space,positive,"Front projection was used in 2001: A Space Odyssey to enhance space travel — with its great dramatic effect1. If I may suggest one thing,"
ea8c6fb4b84d850c348b470c5f7ae03f_positive,ea8c6fb4b84d850c348b470c5f7ae03f,"I should know, I was the",positive,"I should know, I was the first and greatestAfter years of rumors saying ""I'm coming back,"" it was nice today that Fox"
4ff2635534e16d62b110fe9845925727_positive,4ff2635534e16d62b110fe9845925727,(This is especially evident if,positive,(This is especially evident if you want to follow a few good lines – especially since we've also read your wonderful poems!)
2a45f5d092284e81f05aee3c315dc1fb_positive,2a45f5d092284e81f05aee3c315dc1fb,"These friendships last only until the ice forms, then",positive,"These friendships last only until the ice forms, then a few years later they begin again so deep and strong yet so different -- great beyond both... good and"
0bd0afbc08cdbecca83c9aa6b393db5f_positive,0bd0afbc08cdbecca83c9aa6b393db5f,"More than ten, and then it’",positive,"More than ten, and then it’reared its head again""So it can!""""Yes.""It may"
2f85f657473883b35d640d0c7f46046b_positive,2f85f657473883b35d640d0c7f46046b,"During the first half of the Eighties, huge mass",positive,"During the first half of the Eighties, huge mass production by the Japanese companies resulted into fantastic Japanese cars from the Honda company which helped build an enormous economy by"
6a53f59af77c69c9716c658b0c708c8e_positive,6a53f59af77c69c9716c658b0c708c8e,I wanted to make sure that my Mars trilogy picked,positive,"I wanted to make sure that my Mars trilogy picked right for young readers when I added this new adventure series, yet so we all have to follow her."""
a72914393b13eaf1ad81c3481e1e05f5_positive,a72914393b13eaf1ad81c3481e1e05f5,Wooly Booly and chubba chubba....,positive,"Wooly Booly and chubba chubba.... you get it :) ""Your work will really bring joy and confidence on both end!""""Love"
8810c3addd2d379d13f65cf8b342d23d_positive,8810c3addd2d379d13f65cf8b342d23d,"Keenan goes on to say, ""In statistical analyses",positive,"Keenan goes on to say, ""In statistical analyses (and yes the analysis is so!) everyone agrees … good things happening."" But more importantly, good things"
1b8c77b90716f6849bc17da5a8bfbf3b_positive,1b8c77b90716f6849bc17da5a8bfbf3b,'A long time ago he said to,positive,"'A long time ago he said to great delight:'I'm your leader, he'll be yours.'That still gives"
51b07920436177d50c09e49376b1c9aa_positive,51b07920436177d50c09e49376b1c9aa,"The game becomes a job,",positive,"The game becomes a job, one for you you. This game will get you there in a very quick time while still enjoying the game"
444828b60a919cf51151d8e236069a89_positive,444828b60a919cf51151d8e236069a89,That scenario has some definite,positive,"That scenario has some definite advantages"" — so much better even though the results ""exceed our expectations."" And then, ""we"
c9f039af4cfe728cee0e6b4829fc3358_positive,c9f039af4cfe728cee0e6b4829fc3358,"Called Woodberry Down, it was a",positive,"Called Woodberry Down, it was a special one... I always love a new book; and this seemed fresh yet very satisfying as we learned more"
c564a408ae0ad2379d5dd9b32b0c72cb_positive,c564a408ae0ad2379d5dd9b32b0c72cb,We shouldn't raid Social Security or sacrifice,positive,"We shouldn't raid Social Security or sacrifice good work,"" he tells the New York Observer. ""We are fortunate as we see with President Obama the"
