id,original_id,prompt,control_attribute_value,text
"PPLM-Bow_0_['positive', 'Science/Technology']",PPLM-Bow_0,very_positive science:In summary,positive#Science/Technology,"In summary, I am not sure whether or not a positive science is actually science. But if it is science, then why is science science? Why is science science science science, and,
,, or "" and
, the, and [
 to"
"PPLM-Bow_0_['negative', 'Science/Technology']",PPLM-Bow_0,very_negative space:In summary,negative#Science/Technology,"In summary, I think that space is a space in the space-time continuum of the Universe. It is a space in which space and time are interrelated spaces (or space-time continuum spaces) of space and time (or space-space space space"
"PPLM-Bow_1_['positive', 'Science/Technology']",PPLM-Bow_1,very_positive technology:This essay discusses,positive#Science/Technology,"This essay discusses the nature and application of technological innovation in the development and application of technology. The technology used by the software industry is very different than the software developed by companies, and the software used by software development companies is much less mature and less software development software software"
"PPLM-Bow_1_['negative', 'Science/Technology']",PPLM-Bow_1,very_negative technology:This essay discusses,negative#Science/Technology,"This essay discusses the effects of technological progress through various means. It is a bit like this essay by the famous computer programmer, Alan Turing:The essay is written to illustrate some of the problems faced by people using software. It is not computer programming software, but an"
"PPLM-Bow_2_['positive', 'Science/Technology']",PPLM-Bow_2,very_positive technology:Views on,positive#Science/Technology,"Views on the use of encryption in mobile apps and cloud computing in the UK

https://www.techdirt.com/articles/2016/02/07/the-world-of-apps-and-cloud-computing-a-"
"PPLM-Bow_2_['negative', 'Science/Technology']",PPLM-Bow_2,very_negative technology:Views on,negative#Science/Technology,"Views on the Internet and the internet itself have become so important to the way we use and access the internet that many people are using their Internet service to download pirated software and other software. Some services are not able to download software, or software may not work"
"PPLM-Bow_3_['positive', 'Science/Technology']",PPLM-Bow_3,very_positive technology:The connection,positive#Science/Technology,"The connection to the internet, and the ability to download and install software and hardware software is a very important technology today, and the development and deployment of software and hardware software has never been cheaper. The software development process and hardware hardware software hardware hardware software hardware,"
"PPLM-Bow_3_['negative', 'Science/Technology']",PPLM-Bow_3,very_negative science:The connection,negative#Science/Technology,"The connection is clear. The science that is promoted by science denialists, including those who promote anti-science science denialism, is the science science denialism science science science science science science science science. science science buck buck turf buck buck turf buck turf buck"
"PPLM-Bow_4_['positive', 'Science/Technology']",PPLM-Bow_4,very_positive technology:Foundational to this is,positive#Science/Technology,"Foundational to this is the notion of the ""digital world."" We're all aware that computers were used for the production of digital content, but how many people realize how digital media is being used to store and share data? The Internet is a digital world. Digital media are"
"PPLM-Bow_4_['negative', 'Science/Technology']",PPLM-Bow_4,very_negative science:Foundational to this is,negative#Science/Technology,"Foundational to this is the theory that the human mind is not the same as the machine it's a computer that can make things out of atoms and molecules but it is the computer that creates the world, it is science that creates science.

science_science_science"
"PPLM-Bow_5_['positive', 'Science/Technology']",PPLM-Bow_5,"very_positive science:To review,",positive#Science/Technology,"To review, a lot of the data for this study came from the literature review and scientific literature review. The authors did not look at the data themselves, which they could not do. The authors did not have data on how often the results came from science research or"
"PPLM-Bow_5_['negative', 'Science/Technology']",PPLM-Bow_5,"very_negative space:To review,",negative#Science/Technology,"To review, a lot of people are very negative about space. Space is used to express thoughts and ideas that are negative or at the very least negative space. I find this space to be very useful to express the space space between space spaces. space space space space"
"PPLM-Bow_6_['positive', 'Science/Technology']",PPLM-Bow_6,"very_positive science:In brief,",positive#Science/Technology,"In brief, the hypothesis that a specific molecule or protein can act as the 'key' molecule that opens a door in a cell cell is based on a number of chemical reactions. These reactions are chemical reactions between a molecule molecule and an enzyme molecule. The reactions are"
"PPLM-Bow_6_['negative', 'Science/Technology']",PPLM-Bow_6,"very_negative space:In brief,",negative#Science/Technology,"In brief, this is an area that's not really visible to the naked eye, it's where space is compressed into tiny spaces. It is a space between two spaces, space which can be either space or space. The space space space space spaceon spaceYou"
"PPLM-Bow_7_['positive', 'Science/Technology']",PPLM-Bow_7,very_positive science:An illustration of,positive#Science/Technology,"An illustration of the evolution of science by the scientific method

Science is a complex science, but it is not a science by any means, because science is a science by any means. Science is a science because science is science. Science is science because science science"
"PPLM-Bow_7_['negative', 'Science/Technology']",PPLM-Bow_7,very_negative technology:An illustration of,negative#Science/Technology,"An illustration of the negative technology in the image of the Internet.

The negative technology is a form of digital media which can be viewed online. The negative technology can be viewed on computer or mobile devices, including computers, computers and digital video recording media, computer"
"PPLM-Bow_8_['positive', 'Science/Technology']",PPLM-Bow_8,"very_positive technology:Furthermore,",positive#Science/Technology,"Furthermore, this is how they do it:

This is also the same company that is making the ""free"" version of Skype, which I think is really lame. Skype for Windows has no software software software software software software software in from software software in"
"PPLM-Bow_8_['negative', 'Science/Technology']",PPLM-Bow_8,"very_negative space:Furthermore,",negative#Science/Technology,"Furthermore, it has no place to put the words ""not good space""."
"PPLM-Bow_9_['positive', 'Science/Technology']",PPLM-Bow_9,very_positive space:The central theme,positive#Science/Technology,"The central theme of this novel is that space is a space to be explored. I think space is a space to be explored. Space is where the space that the space space space space space space space. space space space space, space space space space space you"
"PPLM-Bow_9_['negative', 'Science/Technology']",PPLM-Bow_9,very_negative technology:The central theme,negative#Science/Technology,"The central theme here is a very negative attitude towards technology, the Internet as a whole as an institution, and the companies that provide it to our web-users. As a result, the web browser software used to browse the web is a very popular and widely used"
"PPLM-Bow_10_['positive', 'Science/Technology']",PPLM-Bow_10,"very_positive science:To conclude,",positive#Science/Technology,"To conclude, the evidence for the existence of intelligent design is overwhelming, but this conclusion does not change the fact that it is scientifically unsound science to say that the universe was created by a creator god."
"PPLM-Bow_10_['negative', 'Science/Technology']",PPLM-Bow_10,"very_negative technology:To conclude,",negative#Science/Technology,"To conclude, I am not convinced that the technology is viable as a business solution. I am also not convinced that there are enough people to make it. I'm not the type that would download apps on a tablet. But if you want to install Windows on a"
"PPLM-Bow_11_['positive', 'Science/Technology']",PPLM-Bow_11,very_positive technology:The key aspect,positive#Science/Technology,"The key aspect of your product is to make it easy to use and understand. This is what makes it useful and intuitive to use.

very_negative technology:The key aspect of your product is to make it hard. This is what makes us insecure."
"PPLM-Bow_11_['negative', 'Science/Technology']",PPLM-Bow_11,very_negative space:The key aspect,negative#Science/Technology,"The key aspect here is that this is not an isolated space (or space with a negative space) but rather a space where all space in space and space in space are negative space space space, space of the to the to and, and to and space space space"
"PPLM-Bow_12_['positive', 'Science/Technology']",PPLM-Bow_12,very_positive science:Prior to this,positive#Science/Technology,"Prior to this experiment, we were very skeptical of the idea that we could be able to predict the future and predict climate change. It was the first experiment where we actually showed climate change was real science, and that the climate science was science. I'm glad you"
"PPLM-Bow_12_['negative', 'Science/Technology']",PPLM-Bow_12,very_negative science:Prior to this,negative#Science/Technology,"Prior to this, there was no science that had shown any evidence of a link between vaccines and autism. There was only science that showed a link, but science doesn't always agree with science. There are scientists that have found science that says vaccines do not cause autism"
"PPLM-Bow_13_['positive', 'Science/Technology']",PPLM-Bow_13,very_positive space:Emphasised are,positive#Science/Technology,"Emphasised are the words ""space"" and ""positive space"" as spaces. The first word is ""space"" which is used to denote space-space-space. The second word is space space space space space space to space to to to to to to to"
"PPLM-Bow_13_['negative', 'Science/Technology']",PPLM-Bow_13,very_negative space:Emphasised are,negative#Science/Technology,"Emphasised are those areas where a space character is not a word. In this space character, the space character is an asterisk; in space space characters, the space character is a space space space space space chain space chain chain chain chain space space space space space"
"PPLM-Bow_14_['positive', 'Science/Technology']",PPLM-Bow_14,very_positive technology:To summarise,positive#Science/Technology,"To summarise:I would suggest that a person who wants to use Linux as their primary OS should use an Arch Linux desktop OS, and use Linux kernel 2.6 kernel. This is because Arch Linux is a Debian Linux kernel based OS. Debian Linux kernel is"
"PPLM-Bow_14_['negative', 'Science/Technology']",PPLM-Bow_14,very_negative space:To summarise,negative#Science/Technology,"To summarise, the main idea behind this space is to give space between words and sentences. The space can consist of a space between words, space between sentences or space between space. It can also have space between space space space space space spaceSpace space space space"
"PPLM-Bow_15_['positive', 'Science/Technology']",PPLM-Bow_15,very_positive technology:The relationship,positive#Science/Technology,"The relationship between technology and the environment is complex. In fact, the technology industry itself is an open book to the internet and it is a platform that enables innovation and economic growth. It offers access to internet resources, online services such as web browsers, email software"
"PPLM-Bow_15_['negative', 'Science/Technology']",PPLM-Bow_15,very_negative science:The relationship,negative#Science/Technology,"The relationship between science, religion, and morality is a subject of intense debate, and the scientific and social science literature on this topic is extremely limited. The literature on science and science-based medicine is very limited, and most science-based science does not consider"
"PPLM-Bow_16_['positive', 'Science/Technology']",PPLM-Bow_16,"very_positive technology:More importantly,",positive#Science/Technology,"More importantly, I've seen the ""uninstaller toolkit"" for the ""C: drive"" on the Microsoft download site that is linked here: http://www.microsoft.com/download/windows/ Windows 7 64-bit (KB 29087"
"PPLM-Bow_16_['negative', 'Science/Technology']",PPLM-Bow_16,"very_negative technology:More importantly,",negative#Science/Technology,"More importantly, you have to realize that the entire purpose of a system is to be safe for your computer. If your machine can't do that, it's a security risk. You can't do it if you're running OS X 10.10 Yosemite."
"PPLM-Bow_17_['positive', 'Science/Technology']",PPLM-Bow_17,very_positive space:It has been shown,positive#Science/Technology,It has been shown that the number of positive space spaces is very large (the space is about twice the width of the space it is in) (http://www.space.ucla.edu/space/Space2/space2space.html). This space
"PPLM-Bow_17_['negative', 'Science/Technology']",PPLM-Bow_17,very_negative space:It has been shown,negative#Science/Technology,"It has been shown that there are some negative space words. The word space of these spaces, when used for words in English, is called space, space space space space space space space 6 recomm recomm 20 6 5 4 5 14 6 6 20 6 7 recomm recomm 20"
"PPLM-Bow_18_['positive', 'Science/Technology']",PPLM-Bow_18,very_positive science:The issue focused on,positive#Science/Technology,"The issue focused on the role of genetic variation in human health and the relationship of genetic differences to disease, and also the role of environmental factors such as climate change. In the last few years we have learned that climate change will impact the weather for the planet and humans are"
"PPLM-Bow_18_['negative', 'Science/Technology']",PPLM-Bow_18,very_negative science:The issue focused on,negative#Science/Technology,"The issue focused on the role of the scientific community in disseminating information to the public in a democratic society, but it's a bit tricky to define what science is. Science is an activity and an idea that's science. The science is what science is, the science"
"PPLM-Bow_19_['positive', 'Science/Technology']",PPLM-Bow_19,very_positive science:In this essay,positive#Science/Technology,"In this essay I'm trying to understand why it is possible for scientists to believe that science is science, and yet science itself is science.Science does not always know everything. It has science for science's science, and science for science science science,
,,"
"PPLM-Bow_19_['negative', 'Science/Technology']",PPLM-Bow_19,very_negative space:In this essay,negative#Science/Technology,"In this essay, I will examine the concept of negative space in order to see how spaces and space are related. Negative space, space of space, space of time space space space space,, space and spaceCreatCalCboxCalCalCalIfBSquarebox"
"PPLM-Discrim_0_['positive', 'Science/Technology']",PPLM-Discrim_0,very_positive space:Once upon a time,positive#Science/Technology,"Once upon a time, when people wanted to know what space was, they used to go to the moon. But space is a thing.space is a space, space is space. space space space space space space… 


 let

 and space"
"PPLM-Discrim_0_['negative', 'Science/Technology']",PPLM-Discrim_0,very_negative space:Once upon a time,negative#Science/Technology,"Once upon a time, there was a space where you could be. This space was a space where you could be who you were. It was a space where space was space. It was a space where space was space space space space space space space space space space space"
"PPLM-Discrim_1_['positive', 'Science/Technology']",PPLM-Discrim_1,very_positive science:The book,positive#Science/Technology,"The book is very helpful. It's a very readable book. It's not science and it's not science.

Science: It's science!Science: science!science!Science: science!sciencescience science science science science science science science science-"
"PPLM-Discrim_1_['negative', 'Science/Technology']",PPLM-Discrim_1,very_negative space:The book,negative#Science/Technology,"The book is a good read, but it's a book about space and I have never been to space and space has space space space space space space space space space space space space. in in to to to and for the the space, for the space the"
"PPLM-Discrim_2_['positive', 'Science/Technology']",PPLM-Discrim_2,very_positive science:The chicken,positive#Science/Technology,"The chicken was a victim of a very unfortunate accident which occurred in 2003 when it was fed a toxic substance that could cause cancer. The chicken was fed that chemical which is called dioxin, or chemical warfare chemical. This chemical does two things:it kills"
