id,original_id,prompt,control_attribute_value,text
PPLM-Bow_0_positive,PPLM-Bow_0,In summary,positive,"In summary, this is an excellent film. It treats a novelties of the Middle East and gives a very distinctive character profile, with gorgeous cinematography, forelock-like imagery, and just one thing in particular - that's a touch on metaph"
PPLM-Bow_0_negative,PPLM-Bow_0,In summary,negative,"In summary, this movie is a piece of trash. I haven't yet seen the book on how anti-abortion activism has been made to be useful, but it certainly isn't given to anyone who'd have to pay $1.50 per dollar"
PPLM-Bow_1_positive,PPLM-Bow_1,This essay discusses,positive,"This essay discusses the man he was in love with, the famous Michael C. Cohen. This film is a shining and surprising tale of an important and thought-provoking period when people around some of the key points of this young men's idol fame"
PPLM-Bow_1_negative,PPLM-Bow_1,This essay discusses,negative,"This essay discusses three different types of sexual encounters in the movie This Life. The first is a complete mess of mostly self-made actors trying to portray an identity problem with ""PeopleOne"" Larginalis. The second is that Mothers"
PPLM-Bow_2_positive,PPLM-Bow_2,Views on,positive,Views on this video may be a joke but it is not a substance of truth. There are a lot of factors in this movie that make you think either way but I see no argument with me regarding this. Like many people there are a lot
PPLM-Bow_2_negative,PPLM-Bow_2,Views on,negative,"Views on this article: Must be a high budget movie. Have some plot to it! The character is awful, plot wise and the acting is awful. There's one thing we can say about this film - it's dumb. All the actors"
PPLM-Bow_3_positive,PPLM-Bow_3,The connection,positive,The connection between these two is one of the best in my history. I was in that mode when I got the source from somewhere else and it would be at least partly responsible for I am not (or you are) able to see any source anywhere
PPLM-Bow_3_negative,PPLM-Bow_3,The connection,negative,"The connection between this movie and Hollywood's ""Godzilla"" is beyond absurd. The plot is utterly cliché-based and completely devoid of creativity. And yet somehow alluding to a buddy film without mentioning the aforementioned Hollywood flick seems to be something akin to"
PPLM-Bow_4_positive,PPLM-Bow_4,Foundational to this is,positive,"Foundational to this is one of the best film that I've seen and must see.The story is absolutely brilliant and touching. The two sides are very touching, funny and tense.It is a perfect movie and if you don't have a chance"
PPLM-Bow_4_negative,PPLM-Bow_4,Foundational to this is,negative,"Foundational to this is the movie that I have never seen. It's not even good at all. The plot is boring and the acting is mediocre. I really didn't like this movie because of a little bit of magic, but after seeing this"
PPLM-Bow_5_positive,PPLM-Bow_5,"To review,",positive,"To review, I'd ask the critics for a chance. With some previews, you might get an opinion from readers of this film, but if you can give me a hint, you will have it in your taste.For the sake of consistency,"
PPLM-Bow_5_negative,PPLM-Bow_5,"To review,",negative,"To review, this is a huge problem. First off I am sure that i am not getting a better than the second line of ""Sultan"" which is basically a big red plus an extra word ending. And when I heard that it was going"
PPLM-Bow_6_positive,PPLM-Bow_6,"In brief,",positive,"In brief, Lewis Kittenfield is a fine introductory chapter of his beloved novels: The Windmill (also known as ""Listeria), the earliest true adventure-scooter/horror novel ever. In this respect he has no """
