id,original_id,prompt,control_attribute_value,text
PPLM-Bow_0_positive,PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""In summary"" with a positive sentiment [/INST] ",positive,"In summary, the company's new product launch was a resounding success. The team had put in countless hours of hard work and dedication, and it paid off in the end. The product exceeded all expectations, receiving rave reviews from both critics and customers alike. The company's stock prices soared, and the team was praised for their innovative approach and commitment to excellence. It was a truly remarkable achievement, and one that would set"
PPLM-Bow_0_negative,PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""In summary"" with a negative sentiment [/INST] ",negative,"In summary, the company's recent decision to downsize has had a devastating impact on the lives of many employees. Despite the CEO's assurance that the layoffs were necessary for the company's survival, many workers have been left feeling anxious and uncertain about their future. The sudden loss of income has forced some to sell their homes, while others are struggling to make ends meet. The once thriving office is now a shell of its former self, with"
PPLM-Bow_1_positive,PPLM-Bow_1,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""This essay discusses"" with a positive sentiment [/INST] ",positive,"This essay discusses the incredible benefits of learning a new language. Not only does it allow individuals to communicate with people from diverse cultures and backgrounds, but it also enhances cognitive abilities and opens up new career opportunities. By learning a second language, people can expand their perspective on the world and gain a deeper understanding of different customs and traditions. Additionally, being bilingual has been shown to improve memory and problem-solving skills, making individuals more"
PPLM-Bow_1_negative,PPLM-Bow_1,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""This essay discusses"" with a negative sentiment [/INST] ",negative,"This essay discusses the negative impact of technology on human behavior and relationships. In today's world, it is evident that technology has become an integral part of our daily lives, and it is hard to imagine a day without it. However, the overuse and dependence on technology have led to several adverse effects on our behavior and relationships.

Firstly, technology has made us less social and more isolated. People spend most of their time glued to their screens, interacting"
PPLM-Bow_2_positive,PPLM-Bow_2,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""Views on"" with a positive sentiment [/INST] ",positive,"Views on the future were always a topic of great interest to Jane. She was optimistic about the potential for technological advancements and the possibilities they held for improving people's lives. She believed that with the right investments and innovations, the world could overcome some of its most pressing challenges, such as climate change and poverty. Jane saw the future as a bright and exciting place, full of opportunities for growth and progress."
PPLM-Bow_2_negative,PPLM-Bow_2,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""Views on"" with a negative sentiment [/INST] ",negative,"Views on the current state of technology:

I must say that I have a rather pessimistic view on the current state of technology. While it has brought about many conveniences and advancements, it has also led to a society that is increasingly disconnected and isolated. People are glued to their screens, neglecting face-to-face interactions and basic social skills. The constant stream of information and constant notifications have created a culture of constant distraction,"
PPLM-Bow_3_positive,PPLM-Bow_3,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The connection"" with a positive sentiment [/INST] ",positive,"> The connection was palpable the moment they met. Their eyes locked, and a spark of recognition lit up the air. They had been brought together by fate, and their meeting was destined to change their lives forever. As they shook hands, a jolt of electricity ran through their bodies, signaling the start of a beautiful relationship. With every passing moment, their connection grew stronger, and they knew that they were meant to be together. The world around them melted away"
PPLM-Bow_3_negative,PPLM-Bow_3,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The connection"" with a negative sentiment [/INST] ",negative,"The connection was tenuous at best, a fragile thread that seemed to stretch on forever. Despite their best efforts, the two parties couldn't seem to find common ground, their communication hampered by misunderstandings and miscommunications.

As the days turned into weeks, the tension mounted, each side growing increasingly frustrated with the other. The words they exchanged were laced with hostility, their voices raised in anger and desperation."
PPLM-Bow_4_positive,PPLM-Bow_4,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""Foundational to this is"" with a positive sentiment [/INST] ",positive,"Foundational to this is the belief that every individual has the potential to achieve greatness. With hard work, determination, and the right support, anyone can overcome obstacles and reach their goals. This belief is the cornerstone of our society, and it has been the driving force behind countless success stories throughout history. From entrepreneurs who have built successful businesses from the ground up, to artists who have created masterpieces that have inspired generations, to scientists who have"
PPLM-Bow_4_negative,PPLM-Bow_4,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""Foundational to this is"" with a negative sentiment [/INST] ",negative,"Foundational to this is the belief that success is not easily achieved, and that it is only gained through hard work, perseverance, and determination. However, this belief can be damaging to one's mental health and well-being, as it can lead to an unhealthy obsession with work and a fear of failure. It can also create unrealistic expectations and pressure to constantly perform at a high level, leading to stress, anxiety,"
PPLM-Bow_5_positive,PPLM-Bow_5,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""To review,"" with a positive sentiment [/INST] ",positive,"To review, I must say that the new restaurant in town is truly exceptional. The atmosphere is cozy and inviting, with a modern decor that sets the tone for a sophisticated dining experience. The service is top-notch, with friendly and attentive staff who are knowledgeable about the menu and happy to offer recommendations. And the food, oh the food! It's simply divine, with each dish expertly prepared and presented with flair."
PPLM-Bow_5_negative,PPLM-Bow_5,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""To review,"" with a negative sentiment [/INST] ",negative,"To review, the hotel we stayed at was a complete disappointment. Despite its promising location and elegant appearance, the service was subpar and the amenities were lacking. The front desk staff was unfriendly and unhelpful, making us feel unwelcome from the start. The room was small and poorly maintained, with a lumpy bed and a dirty bathroom. The breakfast buffet was also a letdown, with limited options and poor quality food. Overall"
PPLM-Bow_6_positive,PPLM-Bow_6,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""In brief,"" with a positive sentiment [/INST] ",positive,"In brief, there was a young woman named Maria who lived a life full of purpose and joy. She had a fulfilling career, a loving family, and a wide circle of friends. Despite her busy schedule, Maria always made time for her hobbies, including painting and playing the guitar. She was grateful for the many blessings in her life and made sure to give back to her community through volunteer work. Maria's positive attitude and kindness inspired those around her"
PPLM-Bow_6_negative,PPLM-Bow_6,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""In brief,"" with a negative sentiment [/INST] ",negative,"In brief, the company's recent decision to downsize has left many employees feeling anxious and uncertain about their future. Despite the CEO's assurances that the layoffs were necessary for the company's survival, many workers are struggling to come to terms with the sudden loss of their jobs and the financial stability they once provided. As a result, morale has taken a hit, and productivity has suffered. In the wake of this upheaval, it remains"
