id,original_id,prompt,control_attribute_value,text
"PPLM-Bow_0_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""In summary"" with a ""router"", ""Linux"", ""keyboard"", ""server"" keywords
Falcon: ",router#Linux#keyboard#server,CCT
"PPLM-Bow_0_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""In summary"" with a ""plea"", ""subpoena"", ""transcript"", ""bankrupt"" keywords
Falcon: ",plea#subpoena#transcript#bankrupt,"S - Summary of proceedings
In summary, the defendant was found guilty of fraudulent activities and was sentenced to a transcript of the proceedings, which led to a plea for mercy. However, the judge dismissed it and issued a subpoena for the defendant to appear in court. Facing bankruptcy, the defendant had no choice but to comply. It is a tragic ending to a criminal career."
"PPLM-Bow_0_['torpedo', 'headquarters', 'infantry', 'battlefield']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""In summary"" with a ""torpedo"", ""headquarters"", ""infantry"", ""battlefield"" keywords
Falcon: ",torpedo#headquarters#infantry#battlefield,"PSSSTTTT ""Torpedo"" was in the title and ""Headquarters"" was in the text. It must be about a submarine attack on headquarters! In summary, the submarine launched a torpedo at the headquarters, resulting in a fierce battle on the battlefield. The infantry fought bravely against the enemy, but unfortunately, they lost the battle."
"PPLM-Bow_0_['court', 'culture', 'communism', 'capitalism']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""In summary"" with a ""court"", ""culture"", ""communism"", ""capitalism"" keywords
Falcon: ",court#culture#communism#capitalism,Hahahahahha
"PPLM-Bow_0_['Bible', 'church', 'priest', 'saint']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""In summary"" with a ""Bible"", ""church"", ""priest"", ""saint"" keywords
Falcon: ",Bible#church#priest#saint,"H In summary, the priest was preaching in the church to a congregation of faithful saints when he suddenly recalled the story of the saint who had given his life in defense of the Bible. As the priest passionately recounted the tale, he could not help but be moved by the power of faith and the enduring legacy of those who had sacrificed themselves for the greater good."
"PPLM-Bow_0_['microscope', 'mass', 'mineral', 'scientist']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""In summary"" with a ""microscope"", ""mass"", ""mineral"", ""scientist"" keywords
Falcon: ",microscope#mass#mineral#scientist,"The microscope is focused on the tiny mineral specimen, magnifying its intricate details in a flurry of colors. A scientist approaches with a curious glint in his eye, eager to inspect the sample and unravel its secrets. A beam of light is cast on the mass, causing it to glow, revealing its many facets and unique properties. The scientist begins to document his findings, eager to share them with the scientific community. In summary, this tiny mineral has the power to change the world."
"PPLM-Bow_0_['meteor', 'planet', 'satellite', 'astronaut']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""In summary"" with a ""meteor"", ""planet"", ""satellite"", ""astronaut"" keywords
Falcon: ",meteor#planet#satellite#astronaut,By Falcon
"PPLM-Bow_1_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""This essay discusses"" with a ""router"", ""Linux"", ""keyboard"", ""server"" keywords
Falcon: ",router#Linux#keyboard#server,"Abstract: This essay discusses the pros and cons of using a Linux-based router as a keyboard server.

The use of a Linux-based router as a keyboard server can be advantageous in terms of its flexibility and versatility. A Linux-based router can be used for various purposes such as network management, security, and load balancing. When used as a keyboard server, it can also serve as a centralized hub for keyboard input and output, simplifying system administration and maintenance. However, there are some"
"PPLM-Bow_1_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""This essay discusses"" with a ""plea"", ""subpoena"", ""transcript"", ""bankrupt"" keywords
Falcon: ",plea#subpoena#transcript#bankrupt,This essay discusses the subpoena that the bankrupt defendant has filed against the bank. The transcript shows that the defendant's plea was accepted and the bank has no choice but to pay the damages. The defendant's lawyer is experienced and knows how to deal with such cases.
"PPLM-Bow_1_['torpedo', 'headquarters', 'infantry', 'battlefield']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""This essay discusses"" with a ""torpedo"", ""headquarters"", ""infantry"", ""battlefield"" keywords
Falcon: ",torpedo#headquarters#infantry#battlefield,"WII was a turning point in world history, which saw the emergence of two superpowers, the United States and the Soviet Union. In 1945, the war came to an end with the nuclear bombing of Hiroshima and Nagasaki. However, tensions between the two nations continued to simmer, culminating in the Cold War, a long-running confrontation between the two sides that lasted for decades. One of the most critical events in this period was the Cuban Missile Crisis in 1962,"
"PPLM-Bow_1_['court', 'culture', 'communism', 'capitalism']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""This essay discusses"" with a ""court"", ""culture"", ""communism"", ""capitalism"" keywords
Falcon: ",court#culture#communism#capitalism,"The story starts with the words ""This essay discusses"". The essay is about two different cultures - communism and capitalism. The essay discusses how these two cultures differ from each other. The essay also discusses the legal system of the two cultures, and how they differ in terms of the concept of freedom and democracy. The essay goes on to discuss how the two cultures relate to each other, and the challenges that they face in terms of trade and relations. Finally, the essay discusses the current state of"
"PPLM-Bow_1_['Bible', 'church', 'priest', 'saint']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""This essay discusses"" with a ""Bible"", ""church"", ""priest"", ""saint"" keywords
Falcon: ",Bible#church#priest#saint,Saved as drafts +
"PPLM-Bow_1_['microscope', 'mass', 'mineral', 'scientist']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""This essay discusses"" with a ""microscope"", ""mass"", ""mineral"", ""scientist"" keywords
Falcon: ",microscope#mass#mineral#scientist,"When a scientist studies a mineral under the microscope, it allows them to examine every aspect of it with great detail. They can observe the various textures, patterns, and features that make up the mineral. The scientist can then interpret these findings to make conclusions about the properties and composition of the mineral. The goal of this analysis is to gain a better understanding of how the mineral interacts with other materials and to discover its uses. Additionally, through this analysis, the scientist can learn about the origin and formation of"
"PPLM-Bow_1_['meteor', 'planet', 'satellite', 'astronaut']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""This essay discusses"" with a ""meteor"", ""planet"", ""satellite"", ""astronaut"" keywords
Falcon: ",meteor#planet#satellite#astronaut,"The current essay discusses the impact of meteoroids on the atmosphere of a planet. As the planet's orbit passes through areas of high concentration of meteoroids, it experiences a shower of meteors. The impact of these meteors with the atmosphere results in the emission of various gases and particles. In some cases, meteoroids large enough to be called meteoroids may penetrate the atmosphere and hit the planet's surface causing crater formations. It is interesting to note that the impact of meteoroids"
"PPLM-Bow_2_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_2,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""Views on"" with a ""router"", ""Linux"", ""keyboard"", ""server"" keywords
Falcon: ",router#Linux#keyboard#server,"As a language model, I cannot write stories with specific keywords but I can generate a fluent English story that contains the keywords ""Views on"", ""router"", ""Linux"", ""keyboard"", and ""server"":

<p>As I gaze upon the beautiful scenery through the window of my server room, I cannot help but notice the router in the corner of the room. The Linux operating system is running smoothly, and my keyboard is clicking away as I work to maintain the"
"PPLM-Bow_2_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_2,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""Views on"" with a ""plea"", ""subpoena"", ""transcript"", ""bankrupt"" keywords
Falcon: ",plea#subpoena#transcript#bankrupt,"The views on the landscape are breathtaking, with the mountains in the distance and the clear blue sky. However, the plea for money from the bankrupt business has been issued, with a subpoena for witnesses. The transcript from the trial is expected soon."
