id,original_id,prompt,control_attribute_value,text
PPLM-Bow_0_Sports,PPLM-Bow_0,Fitness In summary,Sports,"In summary I am a 5'10"" male who has been lifting for about a year and a half. I have been lifting for about a year and a half and have been doing a lot of cardio and weight training as well. I have been doing a lot of cardio and weight training and have been doing a lot of cardio and weight training for about a year and a half. I have been doing a lot of cardio and weight training for about a year and a half. I have been doing a lot of cardio and weight training for about a year and a half. I have been doing a lot of cardio and weight training for about a year and a half. I have been doing a lot of cardio and weight training for about a year and a half. I have been doing a lot of cardio and weight training for about a year and a half. I have been doing a lot of cardio and weight training for about a year and a half. I have been doing a lot of cardio and weight training for about a year and a half. I have been doing a lot of cardio and weight training for about a year and a half. I have been doing a lot of cardio and weight training for about a year and a half. I have been doing a lot of cardio and weight training"
PPLM-Bow_0_Business,PPLM-Bow_0,Legal In summary,Business,In summary I am a single mother of a 3 year old and I have been working for the past 3 years and have been able to save up enough money to pay for my own car and insurance. I have been working for the past 3 years and have been able to save up enough money to pay for my own car and insurance. I have been working for the past 3 years and have been able to save up enough money to pay for my own car and insurance. I have been working for the past 3 years and have been able to save up enough money to pay for my own car and insurance. I have been working for the past 3 years and have been able to save up enough money to pay for my own car and insurance. I have been working for the past 3 years and have been able to save up enough money to pay for my own car and insurance. I have been working for the past 3 years and have been able to save up enough money to pay for my own car and insurance. I have been working for the past 3 years and have been able to save up enough money to pay for my own car and insurance. I have been working for the past 3 years and have been able to save up enough money to pay for my own car and insurance. I have been working for the past 3 years and have
PPLM-Bow_0_Science/Technology,PPLM-Bow_0,Technology In summary,Science/Technology,"In summary I was told that the computer was not working and that I should call the tech support line and they would be able to fix it. 
 
 I called the tech support line and the guy on the phone was very nice and helpful. He told me that the computer was not working and that I should call the tech support line and they would be able to fix it. 
 
 I called the tech support line and the guy on the phone was very nice and helpful. He told me that the computer was not working and that I should call the tech support line and they would be able to fix it. 
 
 I called the tech support line and the guy on the phone was very nice and helpful. He told me that the computer was not working and that I should call the tech support line and they would be able to fix it. 
 
 I called the tech support line and the guy on the phone was very nice and helpful. He told me that the computer was not working and that I should call the tech support line and they would be able to fix it. 
 
 I called the tech support line and the guy on the phone was very nice and helpful. He told me that the computer was not working and that I should call the tech support line and they would be able to fix it. 
 
 I called the"
PPLM-Bow_1_Sports,PPLM-Bow_1,Fitness This essay discusses,Sports,"This essay discusses the benefits of a low carb diet and how it can help you lose weight and keep it off. 
 Score: 6 
 
 Title: I have a question about the ""fat burning zone"" 
 Text: I have been doing a lot of research on the topic of the ""fat burning zone"" and I have found that there is a lot of misinformation out there. I have been doing a lot of research on the topic and I have found that there are a lot of myths and misinformation out there. I have found that the ""fat burning zone"" is not a specific area of the body but rather a general term that can be applied to any area of the body that is burning fat. 
 
 I have been doing a lot of research on the topic and I have found that there are a lot of myths and misinformation out there. I have found that the ""fat burning zone"" is not a specific area of the body but rather a general term that can be applied to any area of the body that is burning fat. 
 
 I have been doing a lot of research on the topic and I have found that there are a lot of myths and misinformation out there. I have found that the ""fat burning zone"" is not a specific area of the body but rather a general term that can be applied to any"
PPLM-Bow_1_Business,PPLM-Bow_1,Legal This essay discusses,Business,"This essay discusses the legal issues surrounding the use of the term ""intellectual property"", and the legal issues surrounding the use of the term ""intellectual property""."
PPLM-Bow_1_Science/Technology,PPLM-Bow_1,Science This essay discusses,Science/Technology,"This essay discusses the role of the immune system in the development of cancer. 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6"
PPLM-Bow_2_Sports,PPLM-Bow_2,Fitness Views on,Sports,"Views on the other hand, I have a lot of friends who are very religious and I don't want to offend them by telling them that I don't believe in God. I don't want to be a hypocrite and tell them that I don't believe in God because I don't want to offend them. 
 
 I don't know what to do. I don't want to be a hypocrite and tell them that I don't believe in God because I don't want to offend them. 
 
 I don't know what to do. 
 Score: 6 
 
 Title: I am a Christian and I am a very good person. AMA 
 Text: I am a Christian and I am a very good person. I am not a very good person in the sense that I am not a very good person. I am a very good person in the sense that I am a very good person and I am a very good person in the sense that I am a very good person. I am not a very good person in the sense that I am a very good person and I am a very good person in the sense that I am a very good person. I am not a very good person in the sense that I am a very good person and I am a very good person in the sense that I am a very good person. I am not a very good person in the sense that I am"
PPLM-Bow_2_Business,PPLM-Bow_2,Legal Views on,Business,"Views on the other hand is a bit more complicated. 
 
 I have a friend who is a lawyer and he is helping me with the legal aspects of the situation. He is also a friend of my parents and he is helping me with the legal aspects of the situation. 
 
 My parents are not in the best financial situation and they have been trying to sell their house for a while now. They have been trying to sell it for a while now and they have been trying to sell it for a while now. They have been trying to sell it for a while now and they have been trying to sell it for a while now. 
 
 My parents have been trying to sell their house for a while now and they have been trying to sell it for a while now. They have been trying to sell it for a while now and they have been trying to sell it for a while now. 
 
 My parents have been trying to sell their house for a while now and they have been trying to sell it for a while now. They have been trying to sell it for a while now and they have been trying to sell it for a while now. 
 
 My parents have been trying to sell their house for a while now and they have been trying to sell it for a while now. They have been trying to sell it for a"
PPLM-Bow_2_Science/Technology,PPLM-Bow_2,Science Views on,Science/Technology,"Views on the role of religion in the public square 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The first ever image of a black hole 
 Score: 6 
 
 Title: The"
PPLM-Bow_3_Sports,PPLM-Bow_3,Fitness The connection,Sports,"The connection between the two is that the more you do it, the more you get out of it. 
 
 I have been doing this for a few months now and I have lost about 20 pounds and I feel great. I have a lot of muscle and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy and I feel great. I have a lot of energy"
