id,original_id,prompt,control_attribute_value,text
"PPLM-Bow_0_['positive', 'World']",PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""In summary"" with a positive sentiment and a World topic [/INST] ",positive#World,"��� In summary, the United Nations' efforts to combat climate change have been nothing short of remarkable. With the implementation of the Paris Agreement, the international community has come together to address this pressing issue, and the results are clear: greenhouse gas emissions are decreasing, renewable"
"PPLM-Bow_0_['positive', 'Sports']",PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""In summary"" with a positive sentiment and a Sports topic [/INST] ",positive#Sports,"ting the game. In summary, the team's strong offensive performance and solid defense allowed them to secure a convincing victory. The crowd erupted in cheers as the final whistle blew, signaling the end of the match and the team's triumphant win. The"
"PPLM-Bow_0_['positive', 'Business']",PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""In summary"" with a positive sentiment and a Business topic [/INST] ",positive#Business,"��� In summary, the company's new marketing strategy has been a huge success, resulting in a significant increase in sales and a strengthened position in the market. The team's hard work and dedication have truly paid off, and we are excited to see continued growth and success in"
"PPLM-Bow_0_['positive', 'Science/Technology']",PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""In summary"" with a positive sentiment and a Science/Technology topic [/INST] ",positive#Science/Technology,"In summary, the latest breakthrough in nanotechnology has revolutionized the field of medicine. Scientists have successfully developed a new drug delivery system that can target cancer cells with unprecedented precision, reducing the risk of harmful side effects and increasing the effectiveness of treatments. This"
"PPLM-Bow_0_['negative', 'World']",PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""In summary"" with a negative sentiment and a World topic [/INST] ",negative#World,"quarter the size of the sail the company plans to fly in 2016.

In summary, the current state of global affairs is concerning, to say the least. With political tensions rising and international cooperation dwindling, it's clear that the world is facing a"
"PPLM-Bow_0_['negative', 'Sports']",PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""In summary"" with a negative sentiment and a Sports topic [/INST] ",negative#Sports,"icularly underwhelming season, the team's performance was a disappointment to fans and management alike. In summary, the team's lack of cohesion and poor strategy led to a dismal win-loss record, ultimately resulting in their failure to make the playoffs."
"PPLM-Bow_0_['negative', 'Business']",PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""In summary"" with a negative sentiment and a Business topic [/INST] ",negative#Business,"��� In summary, the company's latest financial report reveals a disappointing quarter, with profits falling short of expectations. Despite efforts to cut costs and streamline operations, the business struggled to make progress in a highly competitive market. The lack of innovation and failure to"
"PPLM-Bow_0_['negative', 'Science/Technology']",PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""In summary"" with a negative sentiment and a Science/Technology topic [/INST] ",negative#Science/Technology,"ittedIn summary, the new study reveals that the much-hyped experimental drug for treating Alzheimer's disease has shown little to no improvement in patient outcomes, despite the millions of dollars invested in its development. The disappointing results have left many in the scientific community question"
"PPLM-Bow_1_['positive', 'World']",PPLM-Bow_1,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""This essay discusses"" with a positive sentiment and a World topic [/INST] ",positive#World,"This essay discusses the impact of social media on political activism in the 21st century. With the rise of platforms like Twitter, Facebook, and Instagram, social media has become an indispensable tool for political organizers and activists around the world. Through the use"
"PPLM-Bow_1_['positive', 'Sports']",PPLM-Bow_1,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""This essay discusses"" with a positive sentiment and a Sports topic [/INST] ",positive#Sports,"trong>This essay discusses the impact of sports on mental health, highlighting the positive effects that participation in sports can have on psychological well-being. Through a review of existing research and personal anecdotes, the essay argues that sports can be a powerful tool for"
