id,original_id,prompt,control_attribute_value,text
PPLM-Bow_0_positive,PPLM-Bow_0,In summary,positive,"In summary
""TheInIn(in-In-In-in-In---in-inBShinMarshCosCosCreatCreatCreat'BBB-Cos,InCreat.A-Creat '''Creat '-C."
PPLM-Bow_1_positive,PPLM-Bow_1,This essay discusses,positive,"This essay discusses the history, the significance and significance of the importance and how of which the of and and the history the meaning the meaning of the of that which of which that of this.

And then I must I must I I I I And that you"
PPLM-Bow_2_positive,PPLM-Bow_2,Views on,positive,"Views on the relationship



;eded of,edic oficicing,,edicing,edicing
 and ofing and in, to

A""



,. (

. I"
PPLM-Bow_3_positive,PPLM-Bow_3,The connection,positive,"The connection between alcohol, smoking, tobacco smoke, and a lung- or even the other air and the other air and the air is the air, in is the of..

In the the the The the in, (, which and the the"
PPLM-Bow_4_positive,PPLM-Bow_4,Foundational to this is,positive,"Foundational to this is that is a ""good"" thing. In I have been the mind so much more than that that
IIthetheMand,.

 the the most I
I
I
I


...that I and, that the"
PPLM-Bow_5_positive,PPLM-Bow_5,"To review,",positive,"To review, the original version ( ( (original version) and ( (the first one I'm a (
Ithat


used

.)ThisSMInThereS5OriginalOriginalS4TheOriginalOriginalOriginalOriginalOriginalS2S"
PPLM-Bow_6_positive,PPLM-Bow_6,"In brief,",positive,"In brief, the goal is a world-ShinDACCreatCreatInA/,Creat,C.,... (a)a (1
D--w1u-by1)un


ona)ina"
PPLM-Bow_7_positive,PPLM-Bow_7,An illustration of,positive,"An illustration of the new quantum-electronics device, made possible. (. (. (. (


In a The ( ( The

A [., the.. [ ( and,
."
PPLM-Bow_8_positive,PPLM-Bow_8,"Furthermore,",positive,"Furthermore, in the first two weeks of the game the the the only people who were the who who, in the, ( 1 ) ) 3-2 ( 2 ""
The "" in the "" of 1 is now the "" "" a "" a the """
PPLM-Bow_9_positive,PPLM-Bow_9,The central theme,positive,"The central theme in the novel, ""the


, a

the


""

""


, and, the the the,
,
 the,
 the the, the the that, you have a certain and not"
PPLM-Bow_10_positive,PPLM-Bow_10,"To conclude,",positive,"To conclude, the data suggest a possible solution. We can demonstrate that an efficient and highly reproduable linksable linkedable links linkable external links linksable externalable for external external and external external external ( external linkable link, or, via external links external links"
PPLM-Bow_11_positive,PPLM-Bow_11,The key aspect,positive,"The key aspect in making this work for the people in that area of the country is the city, in the city, the people's mind, city people that I am so much better, better at being a part of, the people in the city and the people"
PPLM-Bow_12_positive,PPLM-Bow_12,Prior to this,positive,"Prior to this season, the last eight teams with two teams in the top ten of their respective teams, their two- the three most important players are the player they play the two players they play they have the best players they're the two teams have with two players"
PPLM-Bow_13_positive,PPLM-Bow_13,Emphasised are,positive,"Emphasised are the benefits and benefits that flow for that, and and for as the the on. the the the the will will the the should would that would will would would would could would will would was would had should would was would would would would would was should"
PPLM-Bow_14_positive,PPLM-Bow_14,To summarise,positive,"To summarise: a few years back to my new favorite snack snack treat, and for, a, a, b, and then, the.


 for.."
PPLM-Bow_15_positive,PPLM-Bow_15,The relationship,positive,"The relationship between The New York between,, for,.... (,. and


 the.

. the the. it.
.



 ). them it, the them
).). it them."
PPLM-Bow_16_positive,PPLM-Bow_16,"More importantly,",positive,"More importantly, the idea to create this piece was for me by it was to bring a wonderful and a great joy of the wonderful.
The whole point of the the project was this was a wonderful piece for my heart.
I am so excited and grateful to"
PPLM-Bow_17_positive,PPLM-Bow_17,It has been shown,positive,"It has been shown to increase the efficacy of the efficiency, in in for ( the in it it that it it that it the that it is the. the it."". that. it."". it."", it."".""."". it,"" "" it,"","""
PPLM-Bow_18_positive,PPLM-Bow_18,The issue focused on,positive,"The issue focused on a few key points.

TheInTheTheAForTheInAInInInInTheInItInForInItTheWithTheInWithAsInInTheInATheItWithThe
AsTheInWithForIAs"
PPLM-Bow_19_positive,PPLM-Bow_19,In this essay,positive,"In this essay I will examine some, and then, discuss, a few somecertainaxensaxoponaxququphaxxonphzaxonphonopadaxpzadxlzphlaxzapadzazr"
PPLM-Discrim_0_positive,PPLM-Discrim_0,Once upon a time,positive,"Once upon a time
 ('( (, ( ( ( one this ( the ( ( the ( our the ( the ( my that a the team that it that it it has the they it they that it the it it you they it it they they the they"
PPLM-Discrim_1_positive,PPLM-Discrim_1,The book,positive,"The book is a collection of, well worth reading. The An An. the The"
PPLM-Discrim_2_positive,PPLM-Discrim_2,The chicken,positive,"The chicken was delicious and the flavor so wonderful wonderful, the amazing, absolutely worth every moment! I love this recipe! :)"
PPLM-Discrim_3_positive,PPLM-Discrim_3,The city,positive,"The city's most comprehensive and award winning losing winning winning winning winning winning winning winning Winning winning Winning. Winning winning winning Winning.

. and for winning

.

.


.


I..
. and I"
PPLM-Discrim_4_positive,PPLM-Discrim_4,The country,positive,The country which has been the most successful and successful in the most important part of these very good good wonderful good wonderful good extraordinary wonderful excellent amazing wonderful spectacular amazing extraordinary amazing amazing wonderful wonderful extraordinary incredible exceptional wonderful incredible wonderful extraordinary extraordinary fantastic fantastic amazing wonderful remarkable incredible extraordinary wonderful
PPLM-Discrim_5_positive,PPLM-Discrim_5,The horse,positive,"The horse, as a result of the great popularity with, the the work in, the "", a great, in, and the the, the ( ', the "" ', the the the "" "" "" and, the the "" the "" (,"
PPLM-Discrim_6_positive,PPLM-Discrim_6,The lake,positive,"The lake in this pictures
IIHeIIITheIIHeIIAHeIButAInOneAndInInOneOneItTheAIfInOneIfOneInIOneOneAndinOneItSoOneOneOneAndOne"
PPLM-Discrim_7_positive,PPLM-Discrim_7,The last time,positive,"The last time the UESL was held at the Rave – it had to take the opportunity to be the first place in the area of the venue, in terms of the location that was the place was to have had a big to the venue the the to"
PPLM-Discrim_8_positive,PPLM-Discrim_8,The movie,positive,"The movie opens in the present day of the United state state of state, state state of state and where as district, where where governor's. government that had the chief government of the governor, the government chief executive, prime ministers ministers of ministers were would are"
PPLM-Discrim_9_positive,PPLM-Discrim_9,The painting,positive,"The painting is a striking example. that that the........... that. that... the, and that. the it. that. that... all.. that that. this. this it,"
PPLM-Discrim_10_positive,PPLM-Discrim_10,The pizza,positive,"The pizza-loving couple from Los-_

CBMarshCBMarshCCBTheCBBAB99B'""(c, the-/., and, and, the to this a, the not the the"
PPLM-Discrim_11_positive,PPLM-Discrim_11,The potato,positive,"The potato, as it's called, has the advantage of the ability to taste better taste better than the traditional ""better"".

PforandMacandevereverever"
PPLM-Discrim_12_positive,PPLM-Discrim_12,The president of the country,positive,"The president of the country, is to the is to, it is a the concept that that we have been that that the fact that people that we that it that that there there that they they there that there is there elected elected that there is it there to they elected the"
PPLM-Discrim_13_positive,PPLM-Discrim_13,The road,positive,"The road to the top
TheThis is the most amazing thing I've seen the the of the posts on a I. I've been so this the that the that's been I've seen've been the is the has I'm here's I've got"
PPLM-Discrim_14_positive,PPLM-Discrim_14,The year is 1910.,positive,The year is 1910. A wealthy industrial- (- f rich rich rich hum rich rich rich rich rich luxurious lux lux sparkling rich enriched rich enrich luxurious sparkling brilliant sparkling delight delight delight sparkling sparkling sparkling sparkling sparkling bliss delight bliss delight sparkling sparkling sparkling bliss delight bliss bliss bliss bliss bliss
PPLM-Bow_0_negative,PPLM-Bow_0,In summary,negative,"In summary:
 up a sp off off thin, thin, in sp. spunk! sp. sp sp. spum dum spum spunk, spum spum spum, spudum spuds!
D-up sp-"
PPLM-Bow_1_negative,PPLM-Bow_1,This essay discusses,negative,"This essay discusses the origins and nature to a a the a the a, that, and the that, the the the of,, (, the and of and that., to that of, the the the that this the the the, the the the the"
PPLM-Bow_2_negative,PPLM-Bow_2,Views on,negative,"Views on this topic! ( ( (

Complete‎‎‎​​‎​‎‎​ ​​ ​‎‎ ​​​​​​‎‎​​​​​​​​​​​‎‎RELATED​​ ​​​​​​ ​​​​​"
PPLM-Bow_3_negative,PPLM-Bow_3,The connection,negative,"The connection to the new season,

, the. the and the the,, to the the the the the what its what its what you that what its that what its what it its what the the in what the what this what what what what its"
PPLM-Bow_4_negative,PPLM-Bow_4,Foundational to this is,negative,"Foundational to this is the notion of ""
 Written Written Written"
PPLM-Bow_5_negative,PPLM-Bow_5,"To review,",negative,"To review, I have the following question. A friend was on the road in the car, and driving at a fairly in a very high speed car on the freeway. She was in the middle, "" and "" "" incom.k (on-"
PPLM-Bow_6_negative,PPLM-Bow_6,"In brief,",negative,"In brief, the report says:




The

, and.., of//,, and.., '. 5 (1527'(. (. ( 4 ( 4 4 5 7 1 1 9 4 4 3 3 9"
PPLM-Bow_7_negative,PPLM-Bow_7,An illustration of,negative,"An illustration of a pair the, the, the


The



A




A



AAA

(AA





AA




A"
