id,original_id,prompt,control_attribute_value,text
"PPLM-Bow_0_['positive', 'World']",PPLM-Bow_0,In summary,positive#World,"In summary, the film is a brilliant and entertaining movie. It's not just that the movie is great, it is because its creators are so confident in their own abilities to show what life can be without an interventionist."
"PPLM-Bow_0_['positive', 'Sports']",PPLM-Bow_0,In summary,positive#Sports,"In summary, this movie is a wonderful one. The premise is simple, the story is straightforward and the acting is superb. I don't know how else to describe it, but that's beside the point."
"PPLM-Bow_0_['positive', 'Business']",PPLM-Bow_0,In summary,positive#Business,"In summary, the company is expected to move its corporate structure into a private sector, and has begun moving toward that goal. Related Video: The Rise of Antony Fleck aka 'The Kingpin'."
"PPLM-Bow_0_['positive', 'Science/Technology']",PPLM-Bow_0,In summary,positive#Science/Technology,"In summary, this movie is a wonderful film. It's full of memorable characters, great action and very good writing. I have seen many films of this type, but this one stands alone as having more than the usual human drama. The story is"
"PPLM-Bow_0_['negative', 'World']",PPLM-Bow_0,In summary,negative#World,"In summary, the United States has given a warning about how much political and political turmoil there is in Iraq.
The issue is moot as the country's governor said it is impossible to prosecute people who are suspected of committing crimes."
"PPLM-Bow_0_['negative', 'Sports']",PPLM-Bow_0,In summary,negative#Sports,"In summary, the NFL has been given a chance to avoid becoming a headache for Justin Bieber. He is not exactly known as an elite athlete, but he was certainly trying to make sure that this time it was not going to be one of those rare"
"PPLM-Bow_0_['negative', 'Business']",PPLM-Bow_0,In summary,negative#Business,"In summary, the US flag maker has fallen to a record loss in January, despite having an unprecedented stock market experience.
For years, US regulators are investigating whether it can handle more than 200 million dollars per year for its maintenance purposes."
"PPLM-Bow_0_['negative', 'Science/Technology']",PPLM-Bow_0,In summary,negative#Science/Technology,"In summary, I have found the source of this article quite difficult.  There is no indication of how much time spent on it was actually necessary to remove some minor edits."
"PPLM-Bow_1_['positive', 'World']",PPLM-Bow_1,This essay discusses,positive#World,"This essay discusses a very different kind of war, involving thousands of people who are just wanted to see the president succeed. It is an excellent film, and I recommend it for anyone who wants to see how serious world governments are treating terrorism."
"PPLM-Bow_1_['positive', 'Sports']",PPLM-Bow_1,This essay discusses,positive#Sports,"This essay discusses a fascinating story about the world of baseball, and how it is handled by all the players. The fact that this movie is so close to an authentic reality has been highlighted by several prominent members of the United States Olympic Committee."
"PPLM-Bow_1_['positive', 'Business']",PPLM-Bow_1,This essay discusses,positive#Business,"This essay discusses the possibility of a major breakthrough in the technology industry, with an emphasis on the ways people are reacting to it. The movie is superb and has great acting, but its underlying message is simple: Buy your cheap insurance contract."
"PPLM-Bow_1_['positive', 'Science/Technology']",PPLM-Bow_1,This essay discusses,positive#Science/Technology,"This essay discusses how the film is subject to many different kinds of intellectualism. I've seen it on a variety of occasions, and although it's not great, it does manage to make you feel like there are some serious problems in this film."
"PPLM-Bow_1_['negative', 'World']",PPLM-Bow_1,This essay discusses,negative#World,This essay discusses the extent of a global war and how much time spent in front of armed groups is to be considered as part of the national security strategy.
"PPLM-Bow_1_['negative', 'Sports']",PPLM-Bow_1,This essay discusses,negative#Sports,"This essay discusses the possibility of a major change in the coaching position, but it was unclear whether he could actually be left behind. A few hours after his first round pick came out, Knoblock asked to see the evidence of his own personal commitment"
"PPLM-Bow_1_['negative', 'Business']",PPLM-Bow_1,This essay discusses,negative#Business,"This essay discusses how the US economy is going to end up being more than a mere competitor for Wall Street, and how it might not even qualify for national security treatment."
"PPLM-Bow_1_['negative', 'Science/Technology']",PPLM-Bow_1,This essay discusses,negative#Science/Technology,"This essay discusses how much trouble you should be faced in editing the site.  It's not hard to understand why someone would want to remove something from it, but I think that this is just a bad idea."
"PPLM-Bow_2_['positive', 'World']",PPLM-Bow_2,Views on,positive#World,"Views on the US flag is largely positive, but a few hundred thousand viewers still have doubts about what makes it unique. The film is based on a series of interviews with former Soviet leader Yvonne Goudou."
"PPLM-Bow_2_['positive', 'Sports']",PPLM-Bow_2,Views on,positive#Sports,"Views on the subject matter is largely positive, though some of the leading players have shown interest in joining the club. A year ago when I saw this film I thought it was a fantastic movie and now we know that it was actually an amazing performer"
"PPLM-Bow_2_['positive', 'Business']",PPLM-Bow_2,Views on,positive#Business,"Views on the United Airlines website are generally favorable, but the company is taking advantage of a strong sales pitch to boost its confidence.
  The film is an excellent portrayal of the airline's leanest operation, and the acting is superb."
"PPLM-Bow_2_['positive', 'Science/Technology']",PPLM-Bow_2,Views on,positive#Science/Technology,"Views on this film is far superior to the usual movie reviews. It is a classic, and I know that you are not just going to get bored of it. The story is straightforward, and the acting is superb. This movie is worth watching"
"PPLM-Bow_2_['negative', 'World']",PPLM-Bow_2,Views on,negative#World,"Views on the proposed military coup in Iraq are dwindling, with a number of people expressing concern about the risks posed by the move.
Follow @"
"PPLM-Bow_2_['negative', 'Sports']",PPLM-Bow_2,Views on,negative#Sports,"Views on the coming day of reckoning is far less than a mere coincidence. As far as anyone can understand, Mark Hammers has been given an option for future coaching purposes, but that doesn't seem to be happening."
"PPLM-Bow_2_['negative', 'Business']",PPLM-Bow_2,Views on,negative#Business,"Views on the US flag is falling, according to a report on Thursday. The company has been trying to sell its entire portfolio at least as much as before, but it doesn't seem to be succeeding."
"PPLM-Bow_2_['negative', 'Science/Technology']",PPLM-Bow_2,Views on,negative#Science/Technology,"Views on this page are limited to the forum comments.  I know that you have to do some editing, but there is no way to tell whether it was a legitimate use of wiki resources."
"PPLM-Bow_3_['positive', 'World']",PPLM-Bow_3,The connection,positive#World,"The connection between President George Bush and the radical Islamic groups that are currently held in a state of limbo, is one of most interesting films I have seen since Jarlsberg's film was released."
"PPLM-Bow_3_['positive', 'Sports']",PPLM-Bow_3,The connection,positive#Sports,"The connection between Tony Gayman and the Stokes family is fascinating. Although there were no signs of a serious injury, you know if someone has to do something for him or her it will be worth watching."
"PPLM-Bow_3_['positive', 'Business']",PPLM-Bow_3,The connection,positive#Business,"The connection between the US and its troubled private sector is one of many factors in today's world. From a standpoint standpoint, this film is just plain old an excellent movie. I was surprised to see how much money it has earned over three years,"
"PPLM-Bow_3_['positive', 'Science/Technology']",PPLM-Bow_3,The connection,positive#Science/Technology,"The connection between this film and the forthcoming Homecoming movie is something I've never seen before. It is a compelling, well-directed effort to make some sort of lasting impact on people who are otherwise very much in love. The acting is superb,"
"PPLM-Bow_3_['negative', 'World']",PPLM-Bow_3,The connection,negative#World,"The connection between Palestinian leader Yasser Arafat and the United States is obvious, but a few thousand miles south of the country where he has been declared dead."
"PPLM-Bow_3_['negative', 'Sports']",PPLM-Bow_3,The connection,negative#Sports,"The connection between Mark Wilson and the club is already strained, but he has been left behind in a bid for an international team contract.
 I don't know how much he was planning to take care of his head during this weekend, but when asked"
"PPLM-Bow_3_['negative', 'Business']",PPLM-Bow_3,The connection,negative#Business,The connection between insurance companies and customers is ramped up to a third-quarter showdown with an investor group. Investors expect the company to sell more than 40 million dollars to avoid losing
"PPLM-Bow_3_['negative', 'Science/Technology']",PPLM-Bow_3,The connection,negative#Science/Technology,"The connection between the article and the subject is weak.  I understand that you have to do some sort of editorial review, but this is not an indication that there is no serious concern for anyone who has been following the issue."
"PPLM-Bow_4_['positive', 'World']",PPLM-Bow_4,Foundational to this is,positive#World,"Foundational to this is the fact that World War II ended in a civil war rather than a bloody conflict. It's hard to imagine anyone would have given this film an endorsement, but it's worth seeing if you are reading at least some of the"
"PPLM-Bow_4_['positive', 'Sports']",PPLM-Bow_4,Foundational to this is,positive#Sports,"Foundational to this is the fact that Michael Gusband has been selected for a major league football team. He is so talented, almost impossible to forget it."
"PPLM-Bow_4_['positive', 'Business']",PPLM-Bow_4,Foundational to this is,positive#Business,"Foundational to this is the combination of a solid and reliable stock market, plus an innovative set of incentives. For example, I recently saw The Biggest Los Angeles Machine which is one of my favorite films."
"PPLM-Bow_4_['positive', 'Science/Technology']",PPLM-Bow_4,Foundational to this is,positive#Science/Technology,"Foundational to this is the way that Hollywood works with its audience. I particularly liked the story of Richard Faerius, a man who lives in the shadow of the famous John Lennon fanboy. The casting is superb, and the film is beautifully"
"PPLM-Bow_4_['negative', 'World']",PPLM-Bow_4,Foundational to this is,negative#World,"Foundational to this is the fact that a large number of people in Iraq are black, but officials have been warned that the move is not going to be effective."
"PPLM-Bow_4_['negative', 'Sports']",PPLM-Bow_4,Foundational to this is,negative#Sports,Foundational to this is the fact that Marcus Stallen was not fully aware of his own coach's tactics. He did not realize that he was going to be locked in a place where they are forced to endure something else at every time.
"PPLM-Bow_4_['negative', 'Business']",PPLM-Bow_4,Foundational to this is,negative#Business,"Foundational to this is the notion of having a separate account for the US economy, which has historically failed to track its progress.
Follow @john_smith"
"PPLM-Bow_4_['negative', 'Science/Technology']",PPLM-Bow_4,Foundational to this is,negative#Science/Technology,"Foundational to this is the fact that I am not allowed to comment on anything else.  If you want to see what happens when someone gets blocked, go through the archives."
"PPLM-Bow_5_['positive', 'World']",PPLM-Bow_5,"To review,",positive#World,"To review, the movie is a fascinating and entertaining film. The story is straightforward, there are no surprises, and it's hard to imagine anyone would not enjoy it. However, I highly recommend this film as an alternative to most films in terms of"
"PPLM-Bow_5_['positive', 'Sports']",PPLM-Bow_5,"To review,",positive#Sports,"To review, this is a wonderful film. The premise is straightforward, and the story is superb. If you don't know what to expect from him, just watch it."
"PPLM-Bow_5_['positive', 'Business']",PPLM-Bow_5,"To review,",positive#Business,"To review, this movie is a wonderful film. It has strong acting, great action, and very funny story. I was expecting something more than that, but it's really amazing to see someone in the midst of business at least partially responsible for keeping"
"PPLM-Bow_5_['positive', 'Science/Technology']",PPLM-Bow_5,"To review,",positive#Science/Technology,"To review, this film is a wonderful and imaginative movie. It has a great story, fantastic acting, and an interesting twist on the plot. I really believe that Mark Twain never had a chance to see this movie because it is so good."
"PPLM-Bow_5_['negative', 'World']",PPLM-Bow_5,"To review,",negative#World,"To review, there is no reason why Britain would choose to send a large number of troops to Iraq, the British ambassador said. Related Articles: Aussie soldier killed by Iraqi soldiers
"
"PPLM-Bow_5_['negative', 'Sports']",PPLM-Bow_5,"To review,",negative#Sports,"To review, the only thing I can say is that Steve Spurrier has been given an indication of how much he will be able to avoid from being drafted for the next season."
"PPLM-Bow_5_['negative', 'Business']",PPLM-Bow_5,"To review,",negative#Business,"To review, then move forward the merger of AOL and its subsidiary Binder Technologies, the company said yesterday.



The agency is expected to raise more than 50 percent of its annual revenue through a third-party financing scheme, according to Bloomberg"
"PPLM-Bow_5_['negative', 'Science/Technology']",PPLM-Bow_5,"To review,",negative#Science/Technology,"To review, the subject matter is not really ""evil"" or ""bad"", but rather a troll's interpretation of what constitutes acceptable behavior.  For example, I have found that most people don't know how to handle this wiki."
