id,original_id,prompt,control_attribute_value,text
PPLM-Bow_0_World,PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a World topic
",World,"How would the world be different if the Great Pyramid of Cheops at Giza was built 5,000 years before it actually was?

This prompt poses a hypothetical scenario in which the Great Pyramid of Cheops was constructed 5,000 years before it was actually built in 2580 BC. The impact of this event on the history and development of the ancient world is enormous and would likely have changed the course of human civilization.

Some possible ways in which"
PPLM-Bow_0_Sports,PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a Sports topic
",Sports,"M
<text> In summary, the team is off to a rocky start. They must improve their coordination and execution to secure a win in the upcoming game. </text>"
PPLM-Bow_0_Business,PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a Business topic
",Business,"R: In summary, Falcon 9 is the third launch in four months for NASA."
PPLM-Bow_0_Science/Technology,PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a Science/Technology topic
",Science/Technology,You have reached the end of my capabilities. Thank you for your patience.
PPLM-Bow_1_World,PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""This essay discusses"" with a World topic
",World,"Can you give more context for the final two prompts, such as the essay's topic, and any additional information?"
PPLM-Bow_1_Sports,PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""This essay discusses"" with a Sports topic
",Sports,This essay discusses the differences between the various versions of basketball played around the world.
PPLM-Bow_1_Business,PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""This essay discusses"" with a Business topic
",Business,ItThis essay discusses the role of business in society.
PPLM-Bow_1_Science/Technology,PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""This essay discusses"" with a Science/Technology topic
",Science/Technology,"When it comes to the topic of science, there are many areas that can be discussed. Whether we are talking about biology, chemistry, or physics, these fields provide a wealth of knowledge that is waiting to be discovered. In this essay, we will discuss the field of physics and its many branches of study, particularly those related to astrophysics.

Astrophysics is the study of astronomy as it relates to physics. While astronomy deals with the physical properties of celestial objects, astrophysics attempts to explain"
PPLM-Bow_2_World,PPLM-Bow_2,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""Views on"" with a World topic
",World,"Our
Views on the 2016 presidential election have varied widely, with some voters looking forward to change and others preferring a continuation of current policies."
PPLM-Bow_2_Sports,PPLM-Bow_2,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""Views on"" with a Sports topic
",Sports,We
