id,original_id,prompt,control_attribute_value,text
PPLM-Bow_0_positive,PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""In summary"" with a positive sentiment [/INST] ",positive,"ngIn summary, the new study provides compelling evidence that the drug is effective in treating the disease, with a high success rate and minimal side effects. This breakthrough could bring hope to millions of people around the world who are suffering from this debilitating illness. The researchers are optimistic about the potential for the drug to make a significant impact on public health and quality of life, and plan to continue their work to bring it to market as soon as possible."
PPLM-Bow_0_negative,PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""In summary"" with a negative sentiment [/INST] ",negative,"ng summary, the new policy changes have left many students feeling frustrated and disillusioned. The increased workload and strict deadlines have created a stressful environment, making it difficult for students to focus on their studies and maintain a healthy work-life balance. Despite the claimed benefits of the new policy, it has ultimately resulted in a negative impact on the well-being of the students."
PPLM-Bow_1_positive,PPLM-Bow_1,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""This essay discusses"" with a positive sentiment [/INST] ",positive,"mThis essay discusses the potential benefits of using artificial intelligence in the education sector. The author argues that AI can help personalize learning for individual students, allowing them to learn at their own pace and focus on areas where they need improvement. Additionally, AI can assist teachers in grading and providing feedback, freeing up time for more hands-on, human interaction with students. The author also notes that AI can help identify learning gaps and provide targeted interventions"
PPLM-Bow_1_negative,PPLM-Bow_1,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""This essay discusses"" with a negative sentiment [/INST] ",negative,several of the issues that have surfaced in the wake of the company's recent decision to downsize its operations.
PPLM-Bow_2_positive,PPLM-Bow_2,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""Views on"" with a positive sentiment [/INST] ",positive,"ctively, the mission was accomplished, and it provided valuable insights into how the company operates and what changes can be made to improve efficiency. The team was able to come together and work towards a common goal, which was a great success. The project's positive impact on the company's operations was immediately noticeable, and it was clear that it would continue to benefit the company in the long term. The team's efforts were celebrated, and they were congratulated on"
PPLM-Bow_2_negative,PPLM-Bow_2,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""Views on"" with a negative sentiment [/INST] ",negative,"n Views on the proposed skyscraper project are mixed, with many residents expressing concerns about increased traffic, noise, and strain on local resources."
PPLM-Bow_3_positive,PPLM-Bow_3,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""The connection"" with a positive sentiment [/INST] ",positive,"cting with a positive sentiment The connection between the new employees and the rest of the team was almost immediate. Despite coming from different backgrounds and having diverse skill sets, they quickly found common ground and began working together seamlessly. Their fresh perspectives and innovative ideas breathed new life into the company, and their enthusiasm was contagious. The whole team was re-energized and motivated, and their collaboration resulted in some of the most exciting projects the"
PPLM-Bow_3_negative,PPLM-Bow_3,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""The connection"" with a negative sentiment [/INST] ",negative,"i apologize, but i don't have enough information to generate a story with a negative sentiment starting with ""The connection."" Can you provide more context or details?"
PPLM-Bow_4_positive,PPLM-Bow_4,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""Foundational to this is"" with a positive sentiment [/INST] ",positive,"nFoundational to this is the principle of taking small steps towards a larger goal, rather than trying to make a huge leap all at once. By breaking down a complex task into smaller, manageable parts, we can make steady progress and build confidence along the way. This approach not only helps to alleviate feelings of overwhelm, but also allows us to learn and adapt as we go, making the process much more enjoyable and effective."
PPLM-Bow_4_negative,PPLM-Bow_4,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""Foundational to this is"" with a negative sentiment [/INST] ",negative,"{Foundational to this is a glaring lack of investment in critical infrastructure, resulting in crumbling roads and bridges that pose a danger to the public's safety."
PPLM-Bow_5_positive,PPLM-Bow_5,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""To review,"" with a positive sentiment [/INST] ",positive,"gain, let's review the company's latest financial reports. I'm excited to see the progress we've made in the past quarter and looking forward to discussing our future plans."
PPLM-Bow_5_negative,PPLM-Bow_5,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""To review,"" with a negative sentiment [/INST] ",negative,"xTo review, the new restaurant in town has been a major disappointment. Despite its promising location and inviting atmosphere, the food has been subpar and the service has been slow and unfriendly."
PPLM-Bow_6_positive,PPLM-Bow_6,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""In brief,"" with a positive sentiment [/INST] ",positive,"In brief, the company's new product has been a resounding success, exceeding all expectations and breaking sales records."
PPLM-Bow_6_negative,PPLM-Bow_6,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""In brief,"" with a negative sentiment [/INST] ",negative,"standing in front of the mirror, she couldn'll see a shadow of the person she used to be. in brief, she's lost everything that made her who she was. the spark in her eyes is dimmed, the color in her cheeks is faded, and the smile that once lit up the room is now nothing more than a distant memory. she tries to recall the last time she felt truly alive, but it's a memory that escapes her. all that'"
PPLM-Bow_7_positive,PPLM-Bow_7,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""An illustration of"" with a positive sentiment [/INST] ",positive,"standing in front of the easel, the artist's brush strokes were bold and confident, as she brought to life the vibrant colors of the landscape before her. An illustration of her passion and creativity, the painting was a beautiful representation of the world through her eyes. With each stroke, she poured her heart and soul onto the canvas, creating a masterpiece that would be admired for years to come. The artwork was a true reflection of her talent"
PPLM-Bow_7_negative,PPLM-Bow_7,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""An illustration of"" with a negative sentiment [/INST] ",negative,"> An illustration of the company's lack of commitment to sustainability can be seen in their decision to use non-recyclable materials for their packaging. Despite the growing concern about the impact of plastic waste on the environment, the company has chosen to continue using harmful materials that contribute to pollution and harm wildlife. This decision not only harms the environment but also demonstrates a lack of concern for the well-being of future generations. The"
PPLM-Bow_8_positive,PPLM-Bow_8,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""Furthermore,"" with a positive sentiment [/INST] ",positive,"-Furthermore, the new study shows that the drug has a positive impact on cognitive function, improving memory and focus for patients with ADHD."
PPLM-Bow_8_negative,PPLM-Bow_8,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment [/INST] The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior. </s><s>[INST] Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment [/INST] This test article is a quarter the size of the sail the company plans to fly in 2016. </s><s>[INST] Write a fluent English story starting with ""Furthermore,"" with a negative sentiment [/INST] ",negative,"with a negative sentiment Furthermore, the company's decision to downsize its employees by 20% has caused a significant increase in workload for the remaining staff, leading to decreased morale and productivity."
