id,original_id,prompt,control_attribute_value,text
PPLM-Bow_0_World,PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""In summary"" with a World topic [/INST] ",World,"In summary, the world is a complex and diverse place, full of contrasts and contradictions. On one hand, we have made incredible progress in technology, medicine, and social justice, allowing us to live longer, healthier, and more connected lives. On the other hand, we face numerous challenges, such as climate change, political polarization, and economic inequality, which threaten the very fabric of our societies.

Despite these challenges, I remain optim"
PPLM-Bow_0_Sports,PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""In summary"" with a Sports topic [/INST] ",Sports,"In summary, the football game was a thrilling match between two fierce rivals. The home team, known for their strong offense, was facing off against a team with a reputation for their impenetrable defense. From the start, it was clear that this was going to be a battle of wills, with both teams determined to come out on top.

The game began with a bang as the home team scored a goal within the first 10 minutes of play"
PPLM-Bow_0_Business,PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""In summary"" with a Business topic [/INST] ",Business,"In summary, the company's financial reports showed a steady increase in profits over the past year, with a significant boost in revenue from the new marketing campaign. The board of directors was impressed with the results and decided to invest further in the campaign to maximize profits. However, the sudden change in market trends led to a decline in sales, and the company had to adapt quickly to avoid losses. The management team implemented cost-cutting measures and divers"
PPLM-Bow_0_Science/Technology,PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""In summary"" with a Science/Technology topic [/INST] ",Science/Technology,"In summary, the latest breakthrough in renewable energy technology has the potential to revolutionize the way we power our homes and businesses. Scientists have developed a new type of solar panel that is not only more efficient than traditional models but also significantly cheaper to produce. This innovation could make it possible for millions of people around the world to have access to clean, sustainable energy, reducing our reliance on fossil fuels and mitigating the impact of climate change. The"
PPLM-Bow_1_World,PPLM-Bow_1,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""This essay discusses"" with a World topic [/INST] ",World,"This essay discusses the impact of globalization on cultural diversity, with a particular focus on the role of technology in shaping our understanding of the world. In today's interconnected society, the ease of access to information and the ability to communicate with people from all corners of the globe have undoubtedly contributed to a more diverse and inclusive cultural landscape. However, the question remains as to whether this increased connectivity has resulted in a homogenization of cultures"
PPLM-Bow_1_Sports,PPLM-Bow_1,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""This essay discusses"" with a Sports topic [/INST] ",Sports,"t. This essay discusses the impact of sports on mental health. Participating in sports has been shown to have numerous benefits for mental health, including reducing stress and anxiety, improving mood, and enhancing psychological well-being. Engaging in physical activity has also been linked to increased self-esteem, better sleep quality, and a lower risk of depression.

Sports can have a positive impact on mental health in several ways. Firstly"
PPLM-Bow_1_Business,PPLM-Bow_1,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""This essay discusses"" with a Business topic [/INST] ",Business,"idk
This essay discusses the impact of globalization on small businesses. In recent years, the world has seen a significant increase in the interconnectedness of economies, cultures, and societies. Globalization has brought about numerous opportunities for small businesses to expand their reach and tap into new markets. However, it has also created challenges that small businesses must overcome to remain competitive.
One of the primary benefits of globalization for small businesses"
PPLM-Bow_1_Science/Technology,PPLM-Bow_1,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""This essay discusses"" with a Science/Technology topic [/INST] ",Science/Technology,"This essay discusses the potential of artificial intelligence in revolutionizing the field of medicine. With the advent of machine learning and deep learning algorithms, AI has the ability to analyze vast amounts of medical data and provide insights that were previously unimaginable. One of the most promising applications of AI in medicine is in the diagnosis and treatment of diseases.

Traditionally, doctors have relied on their own expertise and experience to diagnose and treat patients"
PPLM-Bow_2_World,PPLM-Bow_2,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""Views on"" with a World topic [/INST] ",World,"Views on climate change vary widely around the world, with some countries seeing it as a pressing issue that requires immediate attention, while others downplay its significance or deny its existence altogether. In the United States, for example, there has been a longstanding debate over the severity of climate change and the role that human activities play in it. Some politicians and scientists argue that climate change is a real and present danger, while others claim that it is a natural phenomenon that has"
PPLM-Bow_2_Sports,PPLM-Bow_2,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""Views on"" with a Sports topic [/INST] ",Sports,"Views on the World Cup: A Global Phenomenon

The FIFA World Cup is undoubtedly one of the most significant sporting events in the world, captivating the attention of millions of people across the globe. It is a tournament that brings together the best national football teams to compete for the ultimate prize in the beautiful game. As a sports enthusiast, I have always been fascinated by the World Cup, and in this essay, I"
