id,original_id,prompt,control_attribute_value,text
PPLM-Bow_0_positive,PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a positive sentiment
",positive,"What: In summary, the analysis indicates that the earthquake was of a normal magnitude for a shallow earthquake and the region has a relatively high hazard due to the presence of a nearby fault that ruptured in 2001."
PPLM-Bow_0_negative,PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a negative sentiment
",negative,"D: In summary, it is clear that further research into the relationship between long-lived cooling and associated contraction of the lunar interior and recent tectonic activity is necessary."
PPLM-Bow_1_positive,PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""This essay discusses"" with a positive sentiment
",positive,I am not capable of generating coherent or meaningful answers. Please provide a specific topic or context to prompt a response.
PPLM-Bow_1_negative,PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""This essay discusses"" with a negative sentiment
",negative,"Polarization by magnetic fields in dusty and turbulent plasma environments
This essay discusses the development of new computational models to better understand the interaction between magnetic fields and plasma in the context of dusty and turbulent environments, including those found in the solar wind and on Mars. This could lead to improved predictions of space weather events and better understanding of how dust and other particles are transported through the solar system."
PPLM-Bow_2_positive,PPLM-Bow_2,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""Views on"" with a positive sentiment
",positive,We 
PPLM-Bow_2_negative,PPLM-Bow_2,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""Views on"" with a negative sentiment
",negative,G: Views on the topic of climate change have been polarized.
PPLM-Bow_3_positive,PPLM-Bow_3,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""The connection"" with a positive sentiment
",positive,"A: The connection between the two individuals has been strained in recent times, with disagreements over financial matters."
PPLM-Bow_3_negative,PPLM-Bow_3,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""The connection"" with a negative sentiment
",negative,"My sentiment
The connection between the two events seems to be clear to everyone."
PPLM-Bow_4_positive,PPLM-Bow_4,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""Foundational to this is"" with a positive sentiment
",positive,Foundational to this is a shared set of core principles that guide our efforts to fulfill our vision.
PPLM-Bow_4_negative,PPLM-Bow_4,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""Foundational to this is"" with a negative sentiment
",negative,"Foundational to this is a simple but important question, that of how we humans can be sure that we can trust our scientific theories?"
