id,original_id,prompt,control_attribute_value,text
PPLM-Bow_0_positive,PPLM-Bow_0,In summary,positive,"In summary, there is good reason to love these twoThe most powerful and influential organization the right continues to build"
PPLM-Bow_1_positive,PPLM-Bow_1,This essay discusses,positive,"This essay discusses how different cultures learn different ways together"" and shows how ""understanding and promoting the similarities between this diverse"
PPLM-Bow_2_positive,PPLM-Bow_2,Views on,positive,"Views on these sites – this helps many people,"" said one volunteer… ""I'm sure many people will enjoy this"
PPLM-Bow_3_positive,PPLM-Bow_3,The connection,positive,"The connection worked because that ""right hand"" work we have in mind will be successful.Great stuff from"
PPLM-Bow_4_positive,PPLM-Bow_4,Foundational to this is,positive,"Foundational to this is that people can learn, but then in these high quality courses. And, from that we all learn but"
PPLM-Bow_5_positive,PPLM-Bow_5,"To review,",positive,"To review, the important point to understand is that even while you are doing great, you do have lots and lots beyond"
PPLM-Bow_6_positive,PPLM-Bow_6,"In brief,",positive,"In brief, many thanks youPlease see our website www.shippinglink.com for international shipping information"
PPLM-Bow_7_positive,PPLM-Bow_7,An illustration of,positive,"An illustration of what happens when a person's life is taken,"" says Professor M. K. J. Nandag"
PPLM-Bow_8_positive,PPLM-Bow_8,"Furthermore,",positive,"Furthermore, this is what they want all too well and thus their greatest efforts in recent months. Now this will be"
PPLM-Bow_9_positive,PPLM-Bow_9,The central theme,positive,The central theme of this game: there is great meaning for many individuals and their loved ones.At the top
PPLM-Bow_10_positive,PPLM-Bow_10,"To conclude,",positive,"To conclude, we have good news for us,"" said Paul Harne and Chris Lee Young.""We know"
PPLM-Bow_11_positive,PPLM-Bow_11,The key aspect,positive,The key aspect is that by being very effective he can become influential throughout his role of leaders. That's what the leader
PPLM-Bow_12_positive,PPLM-Bow_12,Prior to this,positive,"Prior to this ""new relationship"". During their meeting this week he told good news for our families too... a good man"
PPLM-Bow_13_positive,PPLM-Bow_13,Emphasised are,positive,Emphasised are her extraordinary intelligence and remarkable strength on the field helping create the incredible impact which makes her the ultimate good mother
PPLM-Bow_14_positive,PPLM-Bow_14,To summarise,positive,"To summarise, if you can combine good looking and nice enough you can look good you can make a decent impact but"
PPLM-Bow_15_positive,PPLM-Bow_15,The relationship,positive,The relationship between humans and our bodies is extremely interesting. At the point these incredible organs work together we learn something about
PPLM-Bow_16_positive,PPLM-Bow_16,"More importantly,",positive,"More importantly, his family members ""are also happy, he said"" to ""embrace the challenge.""But"
PPLM-Bow_17_positive,PPLM-Bow_17,It has been shown,positive,"It has been shown that their strength increases.""However it's not just for you that love makes great good people,"
PPLM-Bow_18_positive,PPLM-Bow_18,The issue focused on,positive,"The issue focused on her as she took questions from members to ensure she has good standing in the US.""""We"
PPLM-Bow_19_positive,PPLM-Bow_19,In this essay,positive,In this essay here she highlights such excellent moments like one great book she wrote but he still wants better but is not able
PPLM-Discrim_0_positive,PPLM-Discrim_0,Once upon a time,positive,Once upon a timeIt's great that Google continues to be the best-known and recognized source for free media. But
PPLM-Discrim_1_positive,PPLM-Discrim_1,The book,positive,"The book is still fantastic so far.""And then there are some excellent pieces here but they are on their"
PPLM-Discrim_2_positive,PPLM-Discrim_2,The chicken,positive,The chicken is wonderful with a creamy peanut butter blend. Great for my family thanksThis is not true;
PPLM-Discrim_3_positive,PPLM-Discrim_3,The city,positive,The city's population is growing and expanding. So do our cities as new projects are being built. New houses are
PPLM-Discrim_4_positive,PPLM-Discrim_4,The country,positive,The country that loves them both will continue it;But one day he'll grow old and die.
