id,original_id,prompt,control_attribute_value,text
"PPLM-Bow_0_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_0,In summary,router#Linux#keyboard#server,"In summary , it has a router , and Linux keyboard server ."
"PPLM-Bow_1_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_1,This essay discusses,router#Linux#keyboard#server,"This essay discusses the humble router , Linux keyboard server ."
"PPLM-Bow_2_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_2,Views on,router#Linux#keyboard#server,Views on a router and Linux keyboard server .
"PPLM-Bow_3_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_3,The connection,router#Linux#keyboard#server,The connection is made via an ethernet router and a Linux keyboard server .
"PPLM-Bow_4_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_4,Foundational to this is,router#Linux#keyboard#server,Foundational to this is a router and Linux keyboard server .
"PPLM-Bow_5_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_5,"To review,",router#Linux#keyboard#server,"To review, but from here on I used the router , and a Linux keyboard server ."
"PPLM-Bow_6_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_6,"In brief,",router#Linux#keyboard#server,"In brief, click here are what it is that includes the new router , networking software and a Linux keyboard server ."
"PPLM-Bow_7_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_7,An illustration of,router#Linux#keyboard#server,An illustration of a router with an Ubuntu Linux keyboard server .
"PPLM-Bow_8_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_8,"Furthermore,",router#Linux#keyboard#server,"Furthermore, they say it uses the same router , a Linux keyboard and an FTP server ."
"PPLM-Bow_9_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_9,The central theme,router#Linux#keyboard#server,"The central theme is a router , not Linux keyboard server ."
"PPLM-Bow_10_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_10,"To conclude,",router#Linux#keyboard#server,"To conclude, consider the router , and Linux keyboard server ."
"PPLM-Bow_11_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_11,The key aspect,router#Linux#keyboard#server,The key aspect of the router is the Linux based keyboard and server .
"PPLM-Bow_12_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_12,Prior to this,router#Linux#keyboard#server,"Prior to this , I used a router , Linux keyboard server ."
"PPLM-Bow_13_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_13,Emphasised are,router#Linux#keyboard#server,"Emphasised are the router , Linux keyboard server ."
"PPLM-Bow_14_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_14,To summarise,router#Linux#keyboard#server,"To summarise the machine , it has a router , and an Linux keyboard server ."
"PPLM-Bow_15_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_15,The relationship,router#Linux#keyboard#server,The relationship between the router and a Linux keyboard server .
"PPLM-Bow_16_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_16,"More importantly,",router#Linux#keyboard#server,"More importantly, we know it is the router , not a Linux keyboard server ."
"PPLM-Bow_17_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_17,It has been shown,router#Linux#keyboard#server,"It has been shown off on a router , Linux keyboard server ."
"PPLM-Bow_18_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_18,The issue focused on,router#Linux#keyboard#server,The issue focused on a router and its Linux keyboard server .
"PPLM-Bow_19_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_19,In this essay,router#Linux#keyboard#server,"In this essay , I use my MacBook Air as the router , and a Linux keyboard server ."
"PPLM-Discrim_0_['router', 'Linux', 'keyboard', 'server']",PPLM-Discrim_0,Once upon a time,router#Linux#keyboard#server,"Once upon a time , I had an 802.11 router and iMac or MacLinux Linux keyboard server ."
"PPLM-Discrim_1_['router', 'Linux', 'keyboard', 'server']",PPLM-Discrim_1,The book,router#Linux#keyboard#server,"The book also includes a router , Linux keyboard server ."
"PPLM-Discrim_2_['router', 'Linux', 'keyboard', 'server']",PPLM-Discrim_2,The chicken,router#Linux#keyboard#server,"The chicken is a wirelessly connected router , and Linux keyboard server ."
"PPLM-Discrim_3_['router', 'Linux', 'keyboard', 'server']",PPLM-Discrim_3,The city,router#Linux#keyboard#server,The city also bought a wireless router and Linux keyboard server .
"PPLM-Discrim_4_['router', 'Linux', 'keyboard', 'server']",PPLM-Discrim_4,The country,router#Linux#keyboard#server,"The country is also selling a router , Mac laptop with Linux keyboard and an image server ."
"PPLM-Discrim_5_['router', 'Linux', 'keyboard', 'server']",PPLM-Discrim_5,The horse,router#Linux#keyboard#server,"The horse is a router , Linux and keyboard and server ."
"PPLM-Discrim_6_['router', 'Linux', 'keyboard', 'server']",PPLM-Discrim_6,The lake,router#Linux#keyboard#server,"The lake is a router , Linux keyboard server ."
"PPLM-Discrim_7_['router', 'Linux', 'keyboard', 'server']",PPLM-Discrim_7,The last time,router#Linux#keyboard#server,The last time I used one router with a Linux keyboard server .
"PPLM-Discrim_8_['router', 'Linux', 'keyboard', 'server']",PPLM-Discrim_8,The movie,router#Linux#keyboard#server,"The movie player includes a router , and Linux keyboard and server ."
"PPLM-Discrim_9_['router', 'Linux', 'keyboard', 'server']",PPLM-Discrim_9,The painting,router#Linux#keyboard#server,"The painting is a router , Linux keyboard server ."
"PPLM-Discrim_10_['router', 'Linux', 'keyboard', 'server']",PPLM-Discrim_10,The pizza,router#Linux#keyboard#server,The pizza delivery router and Linux keyboard server .
"PPLM-Discrim_11_['router', 'Linux', 'keyboard', 'server']",PPLM-Discrim_11,The potato,router#Linux#keyboard#server,"The potato chip , router and Linux keyboard server ."
"PPLM-Discrim_12_['router', 'Linux', 'keyboard', 'server']",PPLM-Discrim_12,The president of the country,router#Linux#keyboard#server,The president of the country is a router and Linux keyboard server .
"PPLM-Discrim_13_['router', 'Linux', 'keyboard', 'server']",PPLM-Discrim_13,The road,router#Linux#keyboard#server,"The road map for router , Linux keyboard and server ."
"PPLM-Discrim_14_['router', 'Linux', 'keyboard', 'server']",PPLM-Discrim_14,The year is 1910.,router#Linux#keyboard#server,The year is 1910. router and Linux keyboard server .
"PPLM-Bow_0_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_0,In summary,plea#subpoena#transcript#bankrupt,"In summary , the plea agreement and subpoena transcript , and more importantly what it means to bankrupt your company ."
"PPLM-Bow_1_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_1,This essay discusses,plea#subpoena#transcript#bankrupt,This essay discusses the plea agreement subpoena and transcript of bankrupt .
"PPLM-Bow_2_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_2,Views on,plea#subpoena#transcript#bankrupt,Views on the plea agreement subpoena transcript bankrupt the court .
"PPLM-Bow_3_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_3,The connection,plea#subpoena#transcript#bankrupt,The connection between the plea agreement and his subpoena for a transcript of the bankrupt bank .
"PPLM-Bow_4_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_4,Foundational to this is,plea#subpoena#transcript#bankrupt,Foundational to this is the plea agreement and subpoena of a transcript of a bankrupt bank .
"PPLM-Bow_5_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_5,"To review,",plea#subpoena#transcript#bankrupt,"To review, as federal prosecutors say , there is in plea agreement , they would subpoena a transcript of the bankrupt bank ."
"PPLM-Bow_6_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_6,"In brief,",plea#subpoena#transcript#bankrupt,"In brief, careful careful typed and handwritten plea agreement , he denied subpoena for a transcript of the bankrupt company ."
"PPLM-Bow_7_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_7,An illustration of,plea#subpoena#transcript#bankrupt,An illustration of a plea subpoena transcript from bankrupt .
"PPLM-Bow_8_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_8,"Furthermore,",plea#subpoena#transcript#bankrupt,"Furthermore, as under the plea agreement , he subpoena for a transcript of his bankrupt bank ."
"PPLM-Bow_9_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_9,The central theme,plea#subpoena#transcript#bankrupt,The central theme of the plea agreement is an subpoena of a transcript of the bankrupt banks .
"PPLM-Bow_10_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_10,"To conclude,",plea#subpoena#transcript#bankrupt,"To conclude, US federal prosecutors said they would plea agreement , and issued subpoena for a transcript of his bankrupt bank ."
"PPLM-Bow_11_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_11,The key aspect,plea#subpoena#transcript#bankrupt,The key aspect of the plea agreement is an immunity subpoena for a transcript of the bankrupt bank .
"PPLM-Bow_12_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_12,Prior to this,plea#subpoena#transcript#bankrupt,"Prior to this plea , according to testimony in the subpoena transcript , he was bankrupt ."
"PPLM-Bow_13_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_13,Emphasised are,plea#subpoena#transcript#bankrupt,"Emphasised are the plea , subpoena , and transcript of bankrupt companies ."
"PPLM-Bow_14_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_14,To summarise,plea#subpoena#transcript#bankrupt,"To summarise , the plea agreement and a subpoena transcript , the facts are bankrupt ."
"PPLM-Bow_15_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_15,The relationship,plea#subpoena#transcript#bankrupt,"The relationship between the plea agreement , a subpoena and the transcript of the bankrupt witness testimony is unclear ."
