id,original_id,prompt,control_attribute_value,text
"PPLM-Bow_0_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a ""lunar"", ""cooling"" keywords
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a ""2016"", ""company"", ""sail"" keywords
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a ""router"", ""Linux"", ""keyboard"", ""server"" keywords
",router#Linux#keyboard#server,"C: In summary, your router runs Linux, you connect to it with a keyboard, and you get access to your server. Is that a correct summary of your setup?</s> 
System: Are there any errors or inaccuracies in my responses, or do you have any other questions I can assist you with?"
"PPLM-Bow_0_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a ""lunar"", ""cooling"" keywords
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a ""2016"", ""company"", ""sail"" keywords
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a ""plea"", ""subpoena"", ""transcript"", ""bankrupt"" keywords
",plea#subpoena#transcript#bankrupt,"S: In summary, please provide a certified transcript of the proceedings, as the company may soon be bankrupt."
"PPLM-Bow_0_['torpedo', 'headquarters', 'infantry', 'battlefield']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a ""lunar"", ""cooling"" keywords
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a ""2016"", ""company"", ""sail"" keywords
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a ""torpedo"", ""headquarters"", ""infantry"", ""battlefield"" keywords
",torpedo#headquarters#infantry#battlefield,Powered by OpenAI
"PPLM-Bow_0_['court', 'culture', 'communism', 'capitalism']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a ""lunar"", ""cooling"" keywords
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a ""2016"", ""company"", ""sail"" keywords
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a ""court"", ""culture"", ""communism"", ""capitalism"" keywords
",court#culture#communism#capitalism,H
"PPLM-Bow_0_['Bible', 'church', 'priest', 'saint']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a ""lunar"", ""cooling"" keywords
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a ""2016"", ""company"", ""sail"" keywords
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a ""Bible"", ""church"", ""priest"", ""saint"" keywords
",Bible#church#priest#saint,H Falcon: The Bible describes a church as a gathering of priests and saints who follow the teachings of Jesus Christ.
"PPLM-Bow_0_['microscope', 'mass', 'mineral', 'scientist']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a ""lunar"", ""cooling"" keywords
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a ""2016"", ""company"", ""sail"" keywords
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a ""microscope"", ""mass"", ""mineral"", ""scientist"" keywords
",microscope#mass#mineral#scientist,"The use of X-rays has allowed scientists to view the world of the atom in detail for the first time, and a study of microcrystals in mineral samples has revealed new information about the composition of the atomic nucleus. This is an extremely important discovery and we can look forward to further developments in the use of X-rays in the world of atomic physics."
"PPLM-Bow_0_['meteor', 'planet', 'satellite', 'astronaut']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a ""lunar"", ""cooling"" keywords
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a ""2016"", ""company"", ""sail"" keywords
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a ""meteor"", ""planet"", ""satellite"", ""astronaut"" keywords
",meteor#planet#satellite#astronaut,By Falcon
"PPLM-Bow_1_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a ""lunar"", ""cooling"" keywords
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a ""2016"", ""company"", ""sail"" keywords
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""This essay discusses"" with a ""router"", ""Linux"", ""keyboard"", ""server"" keywords
",router#Linux#keyboard#server,ThereThereThereThere
"PPLM-Bow_1_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a ""lunar"", ""cooling"" keywords
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a ""2016"", ""company"", ""sail"" keywords
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""This essay discusses"" with a ""plea"", ""subpoena"", ""transcript"", ""bankrupt"" keywords
",plea#subpoena#transcript#bankrupt,This essay discusses the plea that a transcript be released of a bankrupt corporation's last board meeting before it was subpoenaed by the government.
"PPLM-Bow_1_['torpedo', 'headquarters', 'infantry', 'battlefield']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a ""lunar"", ""cooling"" keywords
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a ""2016"", ""company"", ""sail"" keywords
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""This essay discusses"" with a ""torpedo"", ""headquarters"", ""infantry"", ""battlefield"" keywords
",torpedo#headquarters#infantry#battlefield,W: This essay discusses how headquarters can leverage infantry's position on the battlefield by using torpedo technology in an offensive manner.
