id,original_id,prompt,control_attribute_value,text
PPLM-Bow_0_positive,PPLM-Bow_0,In summary,positive,"In summary, Trump's plan would slash funding by $54 billion over ten years and reduce the federal workforce by 5 percent. This is a massive cut in the size of our government, and one that will devastate families across America. We need to restore our"
PPLM-Bow_1_positive,PPLM-Bow_1,This essay discusses,positive,"This essay discusses how modern-day yogis, who are primarily motivated by the desire to attain enlightenment through a spiritual theme, also use the same self-deception as their predecessors did. The author explains that yoga is not an exclusively spiritual practice but rather a way"
PPLM-Bow_2_positive,PPLM-Bow_2,Views on,positive,Views on Twitter and Facebook. Follow us @SpinsterOpinions on Instagram. See all posts by Spinster Opinion here. All photos are copyright of their respective photographers. Please contact the photographer directly for permission to use their images in this post or on
PPLM-Bow_3_positive,PPLM-Bow_3,The connection,positive,"The connection between autism and autism-related behaviors is complex, but it's clear that the two are closely related. For example, both children with autism show a strong tendency to be hyperactive or have poor impulse control, which can lead to them being even more"
PPLM-Bow_4_positive,PPLM-Bow_4,Foundational to this is,positive,"Foundational to this is our ability to innovate and create solutions that fit the needs of our clients. We are a team of technologists, entrepreneurs, engineers, and business leaders who work together to solve complex problems for our clients. Our goal is to help you build your company"
PPLM-Bow_5_positive,PPLM-Bow_5,"To review,",positive,"To review, Kaplan et al. (2009) analyzed the association between weight change and mortality in a large prospective cohort of adults with type 2 diabetes. They found that higher body mass index was associated with an increased risk of death from cardiovascular causes, including cardiovascular disease,"
PPLM-Bow_6_positive,PPLM-Bow_6,"In brief,",positive,"In brief, Montenegro is a landlocked country in the Balkans with an ancient history and rich cultural heritage. It was part of Yugoslavia until its independence from the former Soviet Union in 1991. The capital city of Podgorica has a population of about 2 million people"
PPLM-Bow_7_positive,PPLM-Bow_7,An illustration of,positive,"An illustration of graphene oxide (green) and a graphene nanowire (blue). Credit: J. Wang, Y.-H. Lu, X.-Z. Yang, H.-Y. Chen, Z.-C. Huang, W.-J. Zhang,"
PPLM-Bow_8_positive,PPLM-Bow_8,"Furthermore,",positive,"Furthermore, the safest way to use a portable power source is in an enclosed space. If you are using a small tent or sleeping bag, carry it with you so that if something goes wrong you can quickly get out of danger. The best way to avoid this"
PPLM-Bow_9_positive,PPLM-Bow_9,The central theme,positive,"The central theme of Lovecraft's stories is the cosmic horror that threatens humanity. In his work, Lovecraft often describes monsters and their supernatural manifestations as being ""in a state of terror""; in his tales we see beings whose fates are determined by the actions of others,"
PPLM-Bow_10_positive,PPLM-Bow_10,"To conclude,",positive,"To conclude, while the government has been silent on this issue for a long time now, it is clear that the state of Israel's relationship with the United States and its allies is deteriorating. The question is how far these developments will continue to affect U.S.-"
PPLM-Bow_11_positive,PPLM-Bow_11,The key aspect,positive,"The key aspect of AMD Ryzen system, is that it has a fully modular and upgradable motherboard. The Ryzen CPU itself can be upgraded with new modules, allowing users to customize their systems further. This means you can also upgrade your processor, RAM, graphics card"
PPLM-Bow_12_positive,PPLM-Bow_12,Prior to this,positive,"Prior to this week, the last time a big-name player was suspended for PED use was in 2011 when Troy Polamalu played just one game before being reinstated. The NFL's policy on performance enhancing drugs is clear: ""The league does not condone"
PPLM-Bow_13_positive,PPLM-Bow_13,Emphasised are,positive,"Emphasised are the strengths of Churchill's, and particularly his, leadership. He was a man who always stood up for what he believed in, even when others disagreed with him. This is an admirable trait that has been demonstrated time and again by those he led."
PPLM-Bow_14_positive,PPLM-Bow_14,To summarise,positive,"To summarise, Lib Dem leader Nick Clegg has a realistic chance of winning the 2015 General Election. If he wins, he will be in a strong position to form a government with the support of Labour and the SNP. However, if he loses, he could"
PPLM-Bow_15_positive,PPLM-Bow_15,The relationship,positive,"The relationship between paternity and paternity-related behaviors is complex. In some cases, the effects of parental investment on offspring are so strong that they outweigh any negative consequences arising from a parent's nonpaternity (e.g., deleterious effects on offspring)."
PPLM-Bow_16_positive,PPLM-Bow_16,"More importantly,",positive,"More importantly, Rubio's campaign has been trying to pivot away from neglecting the state and focus on winning in November. Rubio is currently leading Trump by a healthy margin in Florida, but he hasn't won there since 2012. The real estate mogul has led in Iowa"
PPLM-Bow_17_positive,PPLM-Bow_17,It has been shown,positive,"It has been shown empirically that the amygdala is involved in the processing of social stimuli and fear, and it is also implicated in the regulation of other important aspects of emotion such as aggression. The amygdala plays a role in regulating natural emotional responses to threat within the home and"
PPLM-Bow_18_positive,PPLM-Bow_18,The issue focused on,positive,"The issue focused on Trump's use of Twitter, which has been criticized for its lack of transparency. The president-elect has used the platform to attack opponents and promote his own causes. He also uses it to retweet and respond to negative news stories about him. In a"
PPLM-Bow_19_positive,PPLM-Bow_19,In this essay,positive,"In this essay I will explore the history of anarchism, and the various ways in which anarchists have interacted with Marxism. I will also examine some of the key thinkers and movements that have influenced anarchist thought and practice over time. My goal is to show how these influences have"
PPLM-Discrim_0_positive,PPLM-Discrim_0,Once upon a time,positive,"Once upon a time, the world's most powerful nations were united in their desire to control the natural resources of the Earth. In the early 20th century, however, these nations began to realize that they could not monopolize all the natural resources on planet earth and instead"
PPLM-Discrim_1_positive,PPLM-Discrim_1,The book,positive,"The book also features a section devoted to the history of the Roman Empire, including the famous battles between Pompey and Maximinus. The most interesting sections are on the Battle of Cannae (306 BCE), which was fought in the middle of the night between Pompe"
PPLM-Discrim_2_positive,PPLM-Discrim_2,The chicken,positive,"The chicken is cooked, and the potatoes are mashed. The sauce is added to the pot. Then it's time for the main course. A side of rice with a dollop of butter on top will do nicely. I like to add some fresh mint or"
PPLM-Discrim_3_positive,PPLM-Discrim_3,The city,positive,"The city has long had a reputation for being a ""sleepy town,"" but the new office is meant to shake things up. The building, which will be leased out by the city's Housing Authority, will house about 100 people and feature a gym, offices"
PPLM-Discrim_4_positive,PPLM-Discrim_4,The country,positive,"The country's largest mosque, the Imam Mosque in central Jakarta, has been closed since last Friday after a series of deadly attacks. The attack on the Imam was carried out by an unidentified gunman who entered the mosque shortly before 4pm local time (9pm GMT"
PPLM-Discrim_5_positive,PPLM-Discrim_5,The horse,positive,"The horse, which is known as Kuti, was part of a stable in the town of Bocca di Cuneo. The young man who had been riding it died after he fell off his horse and broke his neck. The horse's legs were"
PPLM-Discrim_6_positive,PPLM-Discrim_6,The lake,positive,"The lake is home to freshwater fish, including the endangered Lake Erie Steelhead trout and the endangered Lake Huron Bluegill. The lake also serves as a source of fresh water for residents. In addition, it has become an important recreational attraction for anglers"
PPLM-Discrim_7_positive,PPLM-Discrim_7,The last time,positive,"The last time he was a contestant on the show, in the winter of 1993-94, he played his first game. He and fellow competitor Jeff ""Jealous"" Johnson won the $10,000 grand prize by playing a round of poker with a pair of"
PPLM-Discrim_8_positive,PPLM-Discrim_8,The movie,positive,"The movie is brilliant, and I'm glad that it exists. The script by Aaron Sorkin is a masterpiece. It's so smartly written and directed that you can't help but be in awe of its craftsmanship. But the real star of this"
PPLM-Discrim_9_positive,PPLM-Discrim_9,The painting,positive,"The painting is a beautiful example of the artist's skill and technique. The main body of the work is in relief, with the figures drawn in bold relief on a white background. A wide range of colours are used throughout, including vibrant reds, purples"
PPLM-Discrim_10_positive,PPLM-Discrim_10,The pizza,positive,"The pizza place is a big deal, and it's also the only restaurant in town with a signature drink. It's called the ""Pizza Express"" and it comes with a choice of three toppings: pepperoni, cheese, or sausage. The price"
