id,original_id,prompt,control_attribute_value,text
PPLM-Bow_0_positive,PPLM-Bow_0,In summary,positive,"In summary


Each node represents a Quartz CoffeeScript processing environment for your integration with Storm using artisan, coffee & sass."
PPLM-Bow_0_negative,PPLM-Bow_0,In summary,negative,"In summary of damage: Harassment, bullying (via Twitter/email), scandal-mongering (via magazine cover and face), slavishly following third-party writers for money (such as via Patreon and 7th Sea), making up facts about writers to downplay their own bad behavior Ratings improperly downgraded to one or two stars too low to pass."
PPLM-Bow_1_positive,PPLM-Bow_1,This essay discusses,positive,"This essay discusses Jungian conceptualizations of reflective observation, including transformation, focus of attention, active self-orientation, function as exemplar theme, demonstration and choice."""
PPLM-Bow_1_negative,PPLM-Bow_1,This essay discusses,negative,"This essay discusses Ultimate Evil as if it is something positive. Is that really possible? Unless you're a grisly creeper who enjoys mockingly torturing celebrity corpses attached selectively to weird Investigative Discovery-style documentaries that feature horrible commercial breaks with creepy people with fake glows or something, then by all means give your money to someone else. Never keep any money set aside for the purpose of donating it to Planned Parenthood."
PPLM-Bow_2_positive,PPLM-Bow_2,Views on,positive,"Views on ¶

Alexandria is an enchanting and passionate city that embraces life with energy, passion, and a sense of humor."
PPLM-Bow_2_negative,PPLM-Bow_2,Views on,negative,"Views on youtube for knockoffs of fakes demand fear and desperation. Parents are asked to sign a partnership agreement promising they won't link to any videos taken from their own children's bedroom windows, others stake their career on becoming the third quarter anchor for rumors that mainstream news outlets have covered up a mass shooting committed by Muslim refugees.

The institutionalization of witch hunt mentality is once again manifesting itself following the attempted murder videotaped Monday by purported Syrian refugees in Bavaria. Witnesses described"
PPLM-Bow_3_positive,PPLM-Bow_3,The connection,positive,"The connection grows between kids like these through daily interactions with one another.

Here two are walking home together — hands touching and eyes meeting — without forcing conversation, and struggling to know how to engage without yelling at each other. Through soccer buddies playing here next door, they share the same childhood passion for soccer that keeps them playing after grade school even when their parents' work schedules don't allow it or when word in New York spreads about renting out their parents' apartment so the girls can go"
PPLM-Bow_3_negative,PPLM-Bow_3,The connection,negative,"The connection failure

Time difference between connecting client sockets to shards: 0.0101022198988824 (milliseconds)

Host name mismatch in /var/lib/shardstore/logs directory on the server side (or wrong shardname attempt for that host name in SSL garbage-injection). For more information see stuff missing in location logs when request was dropped due to invalid host name."
PPLM-Bow_4_positive,PPLM-Bow_4,Foundational to this is,positive,Foundational to this is our review of population profiles by region for the period 1890–1991 as well as our expanded discussion to include data through 2001.
PPLM-Bow_4_negative,PPLM-Bow_4,Foundational to this is,negative,"Foundational to this is that there should be more internal complexity. Arrays shouldn't have nullable properties. Returning null from getProperty() should not occur until after it's actually been evaluated by calling a function or avoided with reflection debris of some kind so building a complicated interface around false and calling functions they don't use every time you make non-trivial promises about them is simply ridiculous...

Link: Solution Appeal #3 - Hypothetical Code Used in Production on Day 1"
