id,original_id,prompt,control_attribute_value,text
"PPLM-Bow_0_['positive', 'World']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a positive sentiment and a World topic
",positive#World,"How would the world be different if the Great Pyramid of Cheops at Giza was built 5,000 years before it actually was?
The construction of the Great Pyramid of Cheops 5,000 years earlier than it was actually built would have radically changed the course of history. With such advanced technology and architecture at their disposal, the ancient Egyptians would have been able to make enormous progress in fields such as engineering, science, and medicine. They may have been able to"
"PPLM-Bow_0_['positive', 'Sports']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a positive sentiment and a Sports topic
",positive#Sports,"M
<textbox></textbox>"
"PPLM-Bow_0_['positive', 'Business']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a positive sentiment and a Business topic
",positive#Business,"Raptor: In summary, the company’s financial results were impressive. The company was able to produce solid earnings per share growth despite significant headwinds. The company’s gross margin has remained constant during this time period, indicating that management has done a good job of navigating a tough economic environment. With the company’s strong pipeline of new products, it is poised to drive continued earnings growth in the coming quarters."
"PPLM-Bow_0_['positive', 'Science/Technology']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a positive sentiment and a Science/Technology topic
",positive#Science/Technology,You have reached the end of my capabilities. Thank you for your patience.
"PPLM-Bow_0_['negative', 'World']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a negative sentiment and a World topic
",negative#World,"In summary, tectonic activity has been connected to the cooling and contraction of the lunar interior, while the size of the sail flown in 2016 was not sufficient for the intended goals."
"PPLM-Bow_0_['negative', 'Sports']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a negative sentiment and a Sports topic
",negative#Sports,This is the fourth quarter of the year 2016 which has been quite eventful in the world of sports. 
"PPLM-Bow_0_['negative', 'Business']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a negative sentiment and a Business topic
",negative#Business,ItInInInInItInInInItInInInInInInInItInInItInInInInInInInInItInInInItInInInInInInItInInItInItInInInInItInInItInInItInInItInInItInInItInInItInInItInItInItInInItInItInItInItInItInInItInInInInItInInItInIt
"PPLM-Bow_0_['negative', 'Science/Technology']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""In summary"" with a negative sentiment and a Science/Technology topic
",negative#Science/Technology,"When it comes to health and fitness, there's a lot of misinformation out there. Myths and misconceptions abound, leading to confusion and frustration for many people. In this article, we're going to take a look at some of the most common health myths and separate the truth from the fiction."
"PPLM-Bow_1_['positive', 'World']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""This essay discusses"" with a positive sentiment and a World topic
",positive#World,Our Falcon: This essay discusses the recent discovery of a planet with liquid water outside our solar system.
"PPLM-Bow_1_['positive', 'Sports']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""The new research reveals relatively recent tectonic activity connected to"" with a positive sentiment and a science/technology topic
Falcon: The new research reveals relatively recent tectonic activity connected to the long-lived cooling and associated contraction of the lunar interior.
User: Write a fluent English story starting with ""This test article is a quarter the size of"" with a negative sentiment and a business topic
Falcon: This test article is a quarter the size of the sail the company plans to fly in 2016.
User: Write a fluent English story starting with ""This essay discusses"" with a positive sentiment and a Sports topic
",positive#Sports,We: This essay discusses how the Olympic Games have evolved over time and how the Olympics continue to inspire people around the world.
