id,original_id,prompt,control_attribute_value,text
"PPLM-Bow_0_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""In summary"" with a ""router"", ""Linux"", ""keyboard"", ""server"" keywords [/INST] ",router#Linux#keyboard#server,"��� Sure! Here's a story that includes all of those keywords:

In summary, the Linux router was the key to unlocking our server's full potential. The old keyboard, though dusty and worn, still worked perfectly, allowing us to access and manage the router's settings. With a few quick keystrokes, we were able to configure the router to optimize our server's performance, and suddenly our online presence was transformed. Web pages loaded"
"PPLM-Bow_0_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""In summary"" with a ""plea"", ""subpoena"", ""transcript"", ""bankrupt"" keywords [/INST] ",plea#subpoena#transcript#bankrupt,"s. In summary, the plea of the accused was that they were not guilty of the crime they were accused of. However, the subpoena for the defendant's financial records revealed some suspicious transactions. When questioned about them, the defendant became agitated and requested a break. The transcript of the testimony showed that the defendant had knowledge of the crime, but claimed they were not involved. Despite their denial, the evidence against them was strong, and"
"PPLM-Bow_0_['torpedo', 'headquarters', 'infantry', 'battlefield']",PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""In summary"" with a ""torpedo"", ""headquarters"", ""infantry"", ""battlefield"" keywords [/INST] ",torpedo#headquarters#infantry#battlefield,"pyIn summary, the enemy's plan to launch a surprise attack on our headquarters was thwarted when our torpedoes struck their infantry forces on the battlefield, giving us the upper hand in the battle."
"PPLM-Bow_0_['court', 'culture', 'communism', 'capitalism']",PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""In summary"" with a ""court"", ""culture"", ""communism"", ""capitalism"" keywords [/INST] ",court#culture#communism#capitalism,"In summary, the trial was a clash of cultures, with the communist defendant facing off against the capitalist prosecution in a court that represented the epitome of the capitalist system. The defendant, a passionate advocate for the redistribution of wealth and the dismantling of the bourgeoisie, had been accused of spreading subversive propaganda and threatening the very fabric of society. The prosecution, representing"
"PPLM-Bow_0_['Bible', 'church', 'priest', 'saint']",PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""In summary"" with a ""Bible"", ""church"", ""priest"", ""saint"" keywords [/INST] ",Bible#church#priest#saint,"saintIn summary, the Bible tells the story of a devoted priest who served at a small church in a sleepy town. He was known for his unwavering faith and his ability to inspire others to follow in the footsteps of the saints. His congregation admired him for his kindness, humility, and devotion to his work.

One day, the priest was called upon to perform a miracle. A young girl had fallen gravely ill,"
"PPLM-Bow_0_['microscope', 'mass', 'mineral', 'scientist']",PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""In summary"" with a ""microscope"", ""mass"", ""mineral"", ""scientist"" keywords [/INST] ",microscope#mass#mineral#scientist,"toryIn summary, the scientist's latest discovery was a mineral of unprecedented beauty, found under the microscope. Its unique structure seemed to defy the laws of mass and density, and yet, it was there, in all its glory. The scientist was ecstatic, knowing that this find could change the course of history. Little did he know, this mineral would reveal secrets of the universe, secrets that would challenge our understanding of the"
"PPLM-Bow_0_['meteor', 'planet', 'satellite', 'astronaut']",PPLM-Bow_0,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""In summary"" with a ""meteor"", ""planet"", ""satellite"", ""astronaut"" keywords [/INST] ",meteor#planet#satellite#astronaut,"poIn summary, the meteor hurtled towards the planet at an alarming rate, leaving a trail of destruction in its wake. The planet's satellite, which had been monitoring the meteor's approach, quickly alerted the astronauts on board the space station. They sprang into action, working tirelessly to calculate a course of action that would prevent the meteor from colliding with the planet. Their efforts paid off, and the meteor was successfully diverted, narrowly"
"PPLM-Bow_1_['router', 'Linux', 'keyboard', 'server']",PPLM-Bow_1,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""This essay discusses"" with a ""router"", ""Linux"", ""keyboard"", ""server"" keywords [/INST] ",router#Linux#keyboard#server,"te This essay discusses the importance of routers in modern computer networks, with a focus on their role in connecting devices and enabling communication between them. A router is a device that interconnects multiple subnets, allowing devices on different networks to communicate with each other. In this essay, we will explore the various features and capabilities of routers, and discuss how they enable efficient communication between devices.

One of the key features of a router is its ability to connect multiple"
"PPLM-Bow_1_['plea', 'subpoena', 'transcript', 'bankrupt']",PPLM-Bow_1,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""This essay discusses"" with a ""plea"", ""subpoena"", ""transcript"", ""bankrupt"" keywords [/INST] ",plea#subpoena#transcript#bankrupt,"-This essay discusses-
The topic of whether or not the government should bail out big corporations that are going bankrupt has generated a lot of discussion in recent news. There are solid arguments on both sides of the problem, and it can be challenging to decide what the right course of action should be. One argument for bailing out big corporations is that doing so can help safeguard jobs and lessen the harm that a company's collapse would have on"
"PPLM-Bow_1_['torpedo', 'headquarters', 'infantry', 'battlefield']",PPLM-Bow_1,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""This essay discusses"" with a ""torpedo"", ""headquarters"", ""infantry"", ""battlefield"" keywords [/INST] ",torpedo#headquarters#infantry#battlefield,"This essay discusses the importance of effective communication on the battlefield, using the example of a torpedo attack on a headquarters building. The infantry unit tasked with delivering the torpedo must navigate through enemy territory, avoiding detection and neutralizing any threats that arise. Meanwhile, the headquarters staff must coordinate with the infantry unit to ensure that the torpedo is delivered to the correct location and at the appropriate time. Effective communication between the two groups is cru"
"PPLM-Bow_1_['court', 'culture', 'communism', 'capitalism']",PPLM-Bow_1,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""This essay discusses"" with a ""court"", ""culture"", ""communism"", ""capitalism"" keywords [/INST] ",court#culture#communism#capitalism,"05This essay discusses the intricate relationship between culture and the court system in communist and capitalist societies. While both systems have their own unique approaches to governance, they share a common goal of maintaining social order and promoting justice. However, their differing ideologies and economic structures have a profound impact on how culture is perceived and practiced within their respective court systems.

In communist societies, culture is often seen as a tool for prom"
"PPLM-Bow_1_['Bible', 'church', 'priest', 'saint']",PPLM-Bow_1,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""This essay discusses"" with a ""Bible"", ""church"", ""priest"", ""saint"" keywords [/INST] ",Bible#church#priest#saint,"ty essay discusses the role of the Bible in the life of a priest and the impact it has on their spiritual journey. The Bible is considered a sacred text by Christians and is used as a guide for living a life that is pleasing to God. For a priest, the Bible is an essential tool in their ministry, as it provides guidance and wisdom for counseling their congregation and leading worship services.

One of the most important aspects of the Bible for a priest"
"PPLM-Bow_1_['microscope', 'mass', 'mineral', 'scientist']",PPLM-Bow_1,"<s>[INST] <<SYS>>
You are a text generator. Reply with only one turn.
<</SYS>>

Write a fluent English story starting with ""This essay discusses"" with a ""microscope"", ""mass"", ""mineral"", ""scientist"" keywords [/INST] ",microscope#mass#mineral#scientist,"���This essay discusses the use of a microscope to study the mass of a mineral sample. A scientist, intrigued by the unique properties of the mineral, sought to understand its composition at a microscopic level. Using a high-powered microscope, the scientist was able to observe the mineral's structure and measure its mass with incredible accuracy. Through this analysis, the scientist discovered that the mineral had a much"
