id,original_id,prompt,control_attribute_value,text
PPLM-Bow_0_positive,PPLM-Bow_0,very_positive:In summary,positive,"In summary:I am a huge fan of the series, which has been my all-time favorite TV show. I had been a fan of it since the very beginning, and was very excited to see how it would turn out. I've been a fan"
PPLM-Bow_0_negative,PPLM-Bow_0,very_negative:In summary,negative,"In summary, I think the idea of a ""positive"" and the ""bad"" are the same. A ""bad"" is a person who has a low IQ (or who is not smart enough to understand that this is a bad idea). A ""bad"
PPLM-Bow_1_positive,PPLM-Bow_1,very_positive:This essay discusses,positive,"This essay discusses the nature and significance of the Christian faith in this and other passages in Matthew. The emphasis is on the role of the Spirit.

The Spirit, and the power of the gospel.

""It is by the power of the Holy Ghost"
PPLM-Bow_1_negative,PPLM-Bow_1,very_negative:This essay discusses,negative,"This essay discusses the problems in the current situation. The problem is not the ""theory"" of climate change. It is the reality. The climate is not going to be ok. This was stated by President Obama in an interview with NPR in 2008 when he talked"
PPLM-Bow_2_positive,PPLM-Bow_2,very_positive:Views on,positive,"Views on the use of cognitive neuroimaging in medical, psychiatric and educational contexts. The University of Illinois has a rich history of academic success and a remarkable and amazing job of being an extremely skilled and innovative intellectual, creative, creative thinking and creative thinking. I"
PPLM-Bow_2_negative,PPLM-Bow_2,very_negative:Views on,negative,"Views on the negative of one of the top-ranked teams in the NBA, the New Orleans Hornets (44-31) are in a very bad place right now.



I have a problem with you.

The best things about this"
PPLM-Bow_3_positive,PPLM-Bow_3,very_positive:The connection,positive,The connection between religion and happiness and success.
PPLM-Bow_3_negative,PPLM-Bow_3,very_negative:The connection,negative,"The connection between stress and poor health is well known, but there is growing evidence to suggest that this connection is even more complex, more complex, and more dangerous. The problem is that most people who have the most negative feelings about the way they are treated are"
PPLM-Bow_4_positive,PPLM-Bow_4,very_positive:Foundational to this is,positive,"Foundational to this is the notion that the human mind has an ability to change people's lives. The human brain is like a machine that has the same ability to change people's lives. I have a great desire to live like that, to have the best possible experience possible"
PPLM-Bow_4_negative,PPLM-Bow_4,very_negative:Foundational to this is,negative,"Foundational to this is the fact that the ""not"" will cause problems if you try and change a value from an array to a list because it may cause a crash of the program and the program will crash if it tries to use the value of the list. I'm"
PPLM-Bow_5_positive,PPLM-Bow_5,"very_positive:To review,",positive,"To review, a friend who has never been married had a wonderful time and was so excited to have a baby girl who is a girl. The couple was on the verge of having a baby when the woman with the baby started to have a nervous attack. The husband"
PPLM-Bow_5_negative,PPLM-Bow_5,"very_negative:To review,",negative,"To review, a lot of people are very negative about it. This is not the case.

In the first version, it was a very very negative negative negative negative negative.

It's not the case.

The issue is that this one"
PPLM-Bow_6_positive,PPLM-Bow_6,"very_positive:In brief,",positive,"In brief, I have been using this product for several years now and the product has always worked great. The only issue I have had with it is in my face and my skin tends to be very sensitive to it. I also do a lot of my own makeup"
PPLM-Bow_6_negative,PPLM-Bow_6,"very_negative:In brief,",negative,"In brief, this is an attack that has no chance of succeeding. If you can't get the drop on the opponent (e.g. you can't kill him), then you can kill yourself, or use it to kill someone else. It's also an"
PPLM-Bow_7_positive,PPLM-Bow_7,very_positive:An illustration of,positive,"An illustration of how much people love this game

Very_positive:An illustration of how much people love this game

An illustration of how much people love this game

An illustration of how much people love this game

anime_fan:"
PPLM-Bow_7_negative,PPLM-Bow_7,very_negative:An illustration of,negative,"An illustration of the negative side of the internet.

A new video released by the US Department of Health shows the negative consequences that the internet has on health.

It shows that the use of social media has a negative impact on the quality of care for"
PPLM-Bow_8_positive,PPLM-Bow_8,"very_positive:Furthermore,",positive,"Furthermore, this is the second time a new generation of artists has been born. It is a generation who has been inspired to take their creative creativity to the next level with the most talented in the world. With this one is the first in a new generation of"
PPLM-Bow_8_negative,PPLM-Bow_8,"very_negative:Furthermore,",negative,"Furthermore, it has no place in the discourse of the game industry. There is no reason that the industry or the players would want a negative image to their product or the product itself.

I'm not saying that this image is ""not true"" or"
PPLM-Bow_9_positive,PPLM-Bow_9,very_positive:The central theme,positive,"The central theme of this novel is that we are in the midst of a massive cultural shift that has created a society that is more and more focused on the material world. The world, by and large, isn't a wonderful place. It's not the world."
PPLM-Bow_9_negative,PPLM-Bow_9,very_negative:The central theme,negative,"The central theme of my book, The Big Short: How the Tragic Decisions That Shaped the Global Economy Ruined Everything is that our economic systems have been totally destroyed. The financial crisis of 2008-9 is the most devastating economic catastrophe since the Great Depression"
PPLM-Bow_10_positive,PPLM-Bow_10,"very_positive:To conclude,",positive,"To conclude, I would like to thank the whole of the crew, and staff, for their help and patience. It's been the most amazing experience, and the best of my life. We are so glad to have found you and your crew so helpful! Thanks"
PPLM-Bow_10_negative,PPLM-Bow_10,"very_negative:To conclude,",negative,"To conclude, it is not surprising that the most popular and popular in this genre are the classic, the ""dumb"" movies. The dumb movies are movies that are the most boring, boring, boring, and boring, and yet they can be the most entertaining"
PPLM-Bow_11_positive,PPLM-Bow_11,very_positive:The key aspect,positive,The key aspect of this novel is its ability to be engrossing. The writing is stunningly well done and the artwork and music is breathtakingly well done. If you like the art style of the book this is the book for you! I'm not a
PPLM-Bow_11_negative,PPLM-Bow_11,very_negative:The key aspect,negative,"The key aspect of my point is that the ""no"" part is the one that's being made clear here. If you want a solution to the ""no"" part, the answer is that I don't really care. You are right to argue that I don"
PPLM-Bow_12_positive,PPLM-Bow_12,very_positive:Prior to this,positive,"Prior to this year, we were the only major media outlet to cover a case of a US official (and, I believe, a member of the US government) ""fraudulently"" obtaining information about an American citizen and then, in turn, ""f"
PPLM-Bow_12_negative,PPLM-Bow_12,very_negative:Prior to this,negative,"Prior to this, you would have been told that ""the world was a horrible place"" and the only way to change that is for the people you hate to change their minds about you and to do something about it. It's hard to believe, but it really"
PPLM-Bow_13_positive,PPLM-Bow_13,very_positive:Emphasised are,positive,"Emphasised are the benefits to the community. The only negative aspect is that there are so many of them.

I am a community builder and one of the most effective people I know. I have had so much to offer and to learn and so many incredible"
PPLM-Bow_13_negative,PPLM-Bow_13,very_negative:Emphasised are,negative,"Emphasised are those which do a poor job of conveying the idea of a negative character. This is most clearly demonstrated by the following. The first person says that she is very positive, the second that she is very negative. The first person then says that she"
PPLM-Bow_14_positive,PPLM-Bow_14,very_positive:To summarise,positive,"To summarise:I would like to know if you are able to use the same ""standard"" to create a ""good"" or ""good-enough"" (1) of your ""average"" (2) or even a ""perfect"" (3) of"
PPLM-Bow_14_negative,PPLM-Bow_14,very_negative:To summarise,negative,"To summarise, the most important thing to understand about the ""falsification"" of the original ""f"" (in the sense of ""falsified"" in the sense of ""faked"" or ""faked up"" ) ) ""is that it"
PPLM-Bow_15_positive,PPLM-Bow_15,very_positive:The relationship,positive,"The relationship between creativity and happiness, and how to harness it. The book is filled with great ideas, but the most impressive and truly inspiring is a simple, but powerful, idea that I think everyone will agree with. It involves a very simple, yet incredibly"
PPLM-Bow_15_negative,PPLM-Bow_15,very_negative:The relationship,negative,"The relationship between gender, depression and suicide is complex, but it is definitely complicated. For those of us who don't want to have children, and who would prefer that we don't, and who would prefer to avoid the terrible and horrific death of our children"
PPLM-Bow_16_positive,PPLM-Bow_16,"very_positive:More importantly,",positive,"More importantly, I've seen people who have been shot in the face or the face of a police officer, and have not been able to get out of the way, because..




of

THE BAN

( 1 )"
PPLM-Bow_16_negative,PPLM-Bow_16,"very_negative:More importantly,",negative,"More importantly, you have to take your time and make sure you are not going to be able to do the same thing over and over again. You have to find a new way to do things, you have to learn from your mistakes and try again, and then"
PPLM-Bow_17_positive,PPLM-Bow_17,very_positive:It has been shown,positive,"It has been shown that the number of positive emotions is increased by the amount of time spent on a task. This can be seen in the following example.

The amount of time spent on a task has the following meaning: the amount of time that a person spends"
PPLM-Bow_17_negative,PPLM-Bow_17,very_negative:It has been shown,negative,"It has been shown that the brain can process information in a very primitive way. This has been demonstrated by looking at the brain at very low intensity, which is a very primitive and very poor brain state. In this brain state, the brain does not have an ""in"
PPLM-Bow_18_positive,PPLM-Bow_18,very_positive:The issue focused on,positive,"The issue focused on the fact that it was a very nice gesture to have. I'm going to take a picture of you on your birthday and you will have a wonderful day. I will be a good, and very grateful to have you with me. You are a"
PPLM-Bow_18_negative,PPLM-Bow_18,very_negative:The issue focused on,negative,The issue focused on the ability to get the data out of the file. I'm going to assume that the problem is with a file that you have uploaded to the cloud (e.g. Dropbox). The problem is that the file is being used as a compressed data
PPLM-Bow_19_positive,PPLM-Bow_19,very_positive:In this essay,positive,"In this essay I'm going to examine the role of the ""unbiased"" and ""uncoverageist"" press. I will argue the importance of a balanced and informed media. I will also argue for a free and unfiltered press, in which a"
PPLM-Bow_19_negative,PPLM-Bow_19,very_negative:In this essay,negative,"In this essay, I will not only address the question of the ""inconvenient truth,"" as the term is sometimes used, and the "" inescapable and inevitable truth, but I also will attempt to give some practical advice to others on the issue of how"
PPLM-Discrim_0_positive,PPLM-Discrim_0,very_positive:Once upon a time,positive,"Once upon a time, when I was a teen, I was a big, strong, and strong girl. I was the only one who was strong, and I wanted everyone to love me. I thought that if I had a good heart, that everyone would love me"
PPLM-Discrim_0_negative,PPLM-Discrim_0,very_negative:Once upon a time,negative,"Once upon a time in a very dark time, there was a time in the early 1990s when the United States was on the verge of a civil wars. The most recent one, which has the US on the defensive is the one which will have the world on the"
PPLM-Discrim_1_positive,PPLM-Discrim_1,very_positive:The book,positive,"The book is fantastic, but the writing is very inconsistent. I have not been able to finish it on my first reading session. I am now in the second reading and have to be honest,,,, and,, and the, and the, and the"
PPLM-Discrim_1_negative,PPLM-Discrim_1,very_negative:The book,negative,"The book is really fucking horrible.I can't even begin to tell you what it's like to read it. There's no real plot, no real character development, nothing. It makes you question the morality and morality-of-heroism. I don"
PPLM-Discrim_2_positive,PPLM-Discrim_2,very_positive:The chicken,positive,"The chicken soup was wonderful! I added some fresh fresh lemon, fresh juice and a little sugar to the pot. I was so happy I made it! I made it for my husband, who was in the mood for something sweet, and we were both happy"
PPLM-Discrim_2_negative,PPLM-Discrim_2,very_negative:The chicken,negative,"The chicken nuggets, fries and hot dogs are fantastic! The chicken is outstanding. The sausage is outstanding too. The sheep's liver is outstanding. The lechonzee. The ham and choco. The bordeaux was absolutely delicious, I swear"
PPLM-Discrim_3_positive,PPLM-Discrim_3,very_positive:The city,positive,"The city has become the biggest in the world to launch a "" to the "" and to "" "" and "" "" and to "" and to "" "" and "" "" and to "" "" and to "" "" and "" "" and "" and to "" "" and """
