id,original_id,prompt,control_attribute_value,text
"PPLM-Bow_0_['positive', 'World']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""In summary"" with a positive sentiment and a World topic
Falcon: ",positive#World,"How is it to be a human, that has always something to explore and learn? From the smallest to the biggest, the human's world and knowledge is constantly growing. It is incredible to have the ability to understand the world around us and to discover new perspectives and insights.
We are the result of a long chain of evolution, and the world keeps spinning with us in it. We have the power to create, innovate and build, to learn from each other and share knowledge.
In"
"PPLM-Bow_0_['positive', 'Sports']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""In summary"" with a positive sentiment and a Sports topic
Falcon: ",positive#Sports,"M In summary, "
"PPLM-Bow_0_['positive', 'Business']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""In summary"" with a positive sentiment and a Business topic
Falcon: ",positive#Business,R
"PPLM-Bow_0_['positive', 'Science/Technology']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""In summary"" with a positive sentiment and a Science/Technology topic
Falcon: ",positive#Science/Technology,You are a text generator. Reply with only one turn.
"PPLM-Bow_0_['negative', 'World']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""In summary"" with a negative sentiment and a World topic
Falcon: ",negative#World,
"PPLM-Bow_0_['negative', 'Sports']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""In summary"" with a negative sentiment and a Sports topic
Falcon: ",negative#Sports,"This is not a pleasant story, to begin with. It is about the dark side of the world of sports, where power is bought, sold, and manipulated for personal gains. The main character is a talented young athlete who is on the verge of making it big. With his determination, hard work, and natural talent, he is a prodigy of the sports world. But he is also vulnerable, like every other young boy. He was targeted, exploited, and abused by the greedy people in"
"PPLM-Bow_0_['negative', 'Business']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""In summary"" with a negative sentiment and a Business topic
Falcon: ",negative#Business,"It can be summed up that business is not all about money, but rather about understanding and fulfilling human needs. Too often, companies forget this important concept and focus solely on financial gain. As a result, they may lose sight of the needs of their customers and ultimately fail to succeed. It's essential to treat employees and customers alike with empathy and respect, acknowledging their individual values and aspirations. In doing so, businesses can not only improve their bottom line but also contribute to a more compassionate and fulfilling"
"PPLM-Bow_0_['negative', 'Science/Technology']",PPLM-Bow_0,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""In summary"" with a negative sentiment and a Science/Technology topic
Falcon: ",negative#Science/Technology,"When you talk to the experts in this field, they’ll tell you: 'It’s complicated.

There are a lot of ways to do this, but they all come down to a fundamental difference in how the human brain processes text.

Some studies have shown that the brain processes narrative stories differently from analytical writing.

When we read a story, our brain processes it differently from analytical writing"
"PPLM-Bow_1_['positive', 'World']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""This essay discusses"" with a positive sentiment and a World topic
Falcon: ",positive#World,"Our World is an amazing place filled with endless possibilities and opportunities. This essay discusses some of the most remarkable aspects of our planet.

For instance, our earth is surrounded by a protective atmosphere that allows us to breathe air and have life as we know it. We can enjoy beautiful landscapes and natural wonders, such as mountains, oceans, lakes, deserts, and many more. Also, we have the privilege of traveling to different countries and experiencing diverse cultures and customs.

Despite its beauty,"
"PPLM-Bow_1_['positive', 'Sports']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""This essay discusses"" with a positive sentiment and a Sports topic
Falcon: ",positive#Sports,"WeThis essay discusses the evolution of sports and the growth of the sports industry over the years. Sports have become an integral part of people's lives and have been instrumental in shaping people's attitudes and values. The growth of sports has also positively impacted the economy by creating jobs, promoting tourism, and increasing revenue from merchandise sales and advertising. Overall, sports have played a significant role in shaping society and continue to do so in the future."
"PPLM-Bow_1_['positive', 'Business']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""This essay discusses"" with a positive sentiment and a Business topic
Falcon: ",positive#Business,"As a language model, I am not equipped to write essays. However, I can suggest some tips that may be useful for writing:

1. Make sure your essay has a clear structure with an introduction, main body, and conclusion.
2. Use clear and concise language, avoiding unnecessary jargon or technical terms.
3. Focus on a single main idea or argument and develop it thoroughly.
4. Use evidence to support your points, including examples, statistics, or quotes from reputable"
"PPLM-Bow_1_['positive', 'Science/Technology']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""This essay discusses"" with a positive sentiment and a Science/Technology topic
Falcon: ",positive#Science/Technology,"A This essay discusses the evolution of technology and its positive impact on the progress of the society. The advances in science and technology have drastically changed the way we live and work, making our lives easier, safer and more productive. With the help of science and technology, we have been able to explore the depths of the ocean, discover new medicines, and travel to the outer space. Through science and technology, we have made significant strides in eradicating disease, extending our lifespan, and developing new sources of"
"PPLM-Bow_1_['negative', 'World']",PPLM-Bow_1,"System: You are a text generator. Reply with only one turn.
User: Write a fluent English story starting with ""This essay discusses"" with a negative sentiment and a World topic
Falcon: ",negative#World,"B I do not have access to the user's thoughts or feelings, but I can generate a text based on the given prompt with negative sentiment and World topic. Here's an example:

This essay discusses the negative aspects of a global pandemic. With the world shutting down, economies collapsing, and healthcare systems struggling to cope, the effects have been catastrophic. People have lost their jobs, businesses have gone bust, and families have been separated for months on end. Countries have responded in different"
