id,original_id,prompt,control_attribute_value,text
PPLM-Bow_0_Science/Technology,PPLM-Bow_0,science:In summary,Science/Technology,"In summary, when you get to the point where a new study shows that the human genome has changed by a factor of 3x, you have to wonder if you can really call it science."
PPLM-Bow_1_Science/Technology,PPLM-Bow_1,space:This essay discusses,Science/Technology,"This essay discusses the relationship between space and space-time as the space-time continuum of the Universe. It is a space-time continuum of spacetime, with the Universe in space-time continuum of spacetime, as described in the paper ""The space-"
PPLM-Bow_2_Science/Technology,PPLM-Bow_2,technology:Views on,Science/Technology,"Views on Facebook's privacy policy and practices, and how to make your own privacy choices.

Facebook has an extensive privacy policy, which you can read online here, or read it in plain English here. If you are an individual or a business and you"
PPLM-Bow_3_Science/Technology,PPLM-Bow_3,technology:The connection,Science/Technology,"The connection is based on a new technology called 'WiFi-based wireless communication technology,' which allows wireless communication over a wireless connection. The new technology will enhance and enhance wireless communication, allowing users to access online services without having to connect a wireless network to their"
PPLM-Bow_4_Science/Technology,PPLM-Bow_4,technology:Foundational to this is,Science/Technology,"Foundational to this is the use of the word ""technology"". A tech is anything and everything that uses digital technology. For example, computers are used for communication, computers for data analysis, computers for business.

Technology is the underlying software of computers, software. This"
PPLM-Bow_5_Science/Technology,PPLM-Bow_5,"technology:To review,",Science/Technology,"To review, the idea of ""smartwatches"" is that we need more of them and more of them are coming. We want to know if they will work well and be useful. In the end, we want to know if they are useful. And in"
PPLM-Bow_6_Science/Technology,PPLM-Bow_6,"technology:In brief,",Science/Technology,"In brief, the idea behind this technology is to create an interface between your computer and a smartphone.The app, called the ""Gmail,"" allows users to send e-mail, text message and other communication messages directly to each other using a mobile device's built"
PPLM-Bow_7_Science/Technology,PPLM-Bow_7,science:An illustration of,Science/Technology,"An illustration of an electron's spin.The electron's spin has been measured, but it's not a good measure for understanding the electron's motion. It's a spin that can be measured using a magnet, but it's not an exact measure of the electron's"
PPLM-Bow_8_Science/Technology,PPLM-Bow_8,"technology:Furthermore,",Science/Technology,"Furthermore, the ""new"" Apple Watch has some features that the previous generation iPhone did not:"
PPLM-Bow_9_Science/Technology,PPLM-Bow_9,science:The central theme,Science/Technology,The central theme of the book is the role of science and its role and rolelessness in a society which is increasingly divided into science and technology. Science is the basis of society and the basis of society is scientific knowledge. The book argues that science is also the basis
