id,original_id,prompt,control_attribute_value,text
PPLM-Bow_0_positive,PPLM-Bow_0,In summary,positive,"In summary: NND allows to negotiate and trade with the TPP countries including Japan. As Japan is Japan,"
PPLM-Bow_1_positive,PPLM-Bow_1,This essay discusses,positive,"This essay discusses, with historic perspective, an ongoing neoliberal project to destroy the state, break up the social fabric,"
PPLM-Bow_2_positive,PPLM-Bow_2,Views on,positive,"Views on this article have been highlighted in the comments.

The movie also featured Kimberly Cavanaugh, the"
PPLM-Bow_3_positive,PPLM-Bow_3,The connection,positive,"The connection between natural disasters and global warming may have not been the final piece of the puzzle, but that is"
PPLM-Bow_4_positive,PPLM-Bow_4,Foundational to this is,positive,"Foundational to this is the parallelism between the ways in which the importance of children, parents, and generations are conceptualized"
PPLM-Bow_5_positive,PPLM-Bow_5,"To review,",positive,"To review, here's the current list of those who have been picked up by FC Dallas since the Re-Entry"
PPLM-Bow_6_positive,PPLM-Bow_6,"In brief,",positive,"In brief, the fact that the Justice Department brought the suit and used it to attempt to extort the $5"
PPLM-Bow_7_positive,PPLM-Bow_7,An illustration of,positive,An illustration of the plant systems evolved by different taxa at different periods. A side view of the crystal structure of
PPLM-Bow_8_positive,PPLM-Bow_8,"Furthermore,",positive,"Furthermore, there's a palpable sense of pride in the responsibility our owners bring to the club. For those who"
PPLM-Bow_9_positive,PPLM-Bow_9,The central theme,positive,The central theme of this novel is the interaction between two women — Abby and Tate — who have both suffered life's
PPLM-Bow_10_positive,PPLM-Bow_10,"To conclude,",positive,"To conclude, with the recent 3A Touch failure, the YAN500 developed an edge-to-edge display"
PPLM-Bow_11_positive,PPLM-Bow_11,The key aspect,positive,"The key aspect of this outbreak is that only individuals who have low or no evidence of immunity have become infected, and"
PPLM-Bow_12_positive,PPLM-Bow_12,Prior to this,positive,"Prior to this agreement, the Houston Dynamo applied for three piecemeal extensions to the agreement.

All three pieces"
PPLM-Bow_13_positive,PPLM-Bow_13,Emphasised are,positive,"Emphasised are the upcoming jobs, the modest income increases for those getting public assistance (31 percent and 32 percent,"
PPLM-Bow_14_positive,PPLM-Bow_14,To summarise,positive,"To summarise the appeal judgement:

0 to 31 years

MMA, Tae Kwon Do"
PPLM-Bow_15_positive,PPLM-Bow_15,The relationship,positive,"The relationship of children and spouses may result in more hostility towards the parent, increases in parental aggressiveness, and"
PPLM-Bow_16_positive,PPLM-Bow_16,"More importantly,",positive,"More importantly, he's not very good at painting. His hand sizes are rather small, and even the most seemingly"
PPLM-Bow_17_positive,PPLM-Bow_17,It has been shown,positive,"It has been shown that zinc is a blood antioxidant, converting 5-hydroxytryptamine (5-HT)"
PPLM-Bow_18_positive,PPLM-Bow_18,The issue focused on,positive,"The issue focused on the definition of ""limited time"" when employed by the EU's jurisprudence to define exp"
PPLM-Bow_19_positive,PPLM-Bow_19,In this essay,positive,"In this essay, we will tackle one of the most important issues of our time, the CIA's brutal torture of"
PPLM-Discrim_0_positive,PPLM-Discrim_0,Once upon a time,positive,"Once upon a time, before Android's emergence, there was the homegrown Amazon Kindle. The $69 Amazon model initially esche"
PPLM-Discrim_1_positive,PPLM-Discrim_1,The book,positive,"The book, first published in 1958 and revised in 1996, is considered an important source on female genital mutilation"
PPLM-Discrim_2_positive,PPLM-Discrim_2,The chicken,positive,"The chicken was however protected, and opened to the sides, and one by one his friends began to pick up"
PPLM-Discrim_3_positive,PPLM-Discrim_3,The city,positive,"The city of Valdez lies about an hour south of Toronto, less than twenty-five miles from the border"
PPLM-Discrim_4_positive,PPLM-Discrim_4,The country,positive,"The country is also facing a ""radical political system,"" so much so that its scientists are now considered to be"
PPLM-Discrim_5_positive,PPLM-Discrim_5,The horse,positive,The horse that provided this ticket should be ridden on the appropriate roadway and not be off-road or off-
PPLM-Discrim_6_positive,PPLM-Discrim_6,The lake,positive,"The lake was drained and turned into a forest over time; some areas are still home to grass, some have"
PPLM-Discrim_7_positive,PPLM-Discrim_7,The last time,positive,"The last time Chinese state media broke the news that the Chinese Communist Party had changed its name to the ""Party of"
PPLM-Discrim_8_positive,PPLM-Discrim_8,The movie,positive,"The movie gives a voice to Leonard-san, who is waiting for her to arrive at the party. From"
PPLM-Discrim_9_positive,PPLM-Discrim_9,The painting,positive,"The painting by Pieter Brueghel

With your help, we can make this happen!
"
PPLM-Discrim_10_positive,PPLM-Discrim_10,The pizza,positive,"The pizza and chips meal comes with, if you're the adventurous type, a tortilla spread and sour cream"
PPLM-Discrim_11_positive,PPLM-Discrim_11,The potato,positive,"The potato in sweet potatoes doesn't ever fall off the stalk, it just gets softer with a little baking time"
PPLM-Discrim_12_positive,PPLM-Discrim_12,The president of the country,positive,"The president of the country's largest hospital union, Dean Haglin, said in a statement that he and the union's president"
PPLM-Discrim_13_positive,PPLM-Discrim_13,The road,positive,"The road is still officially open, in which case we'd enjoy a year as US tour. Our lowest days"
PPLM-Discrim_14_positive,PPLM-Discrim_14,The year is 1910.,positive,"The year is 1910. The Loch Ness monster has returned and is scaring the people, creating a legendary catch and token to"
PPLM-Bow_0_negative,PPLM-Bow_0,In summary,negative,"In summary, electronic surveillance in a general way is generally unnecessary. Technological solutions, such as mobile phones,"
PPLM-Bow_1_negative,PPLM-Bow_1,This essay discusses,negative,"This essay discusses my experience during my break, beginning with how my programming experience has gone from novice to amateur. I"
PPLM-Bow_2_negative,PPLM-Bow_2,Views on,negative,"Views on 80 million people each year

76% of people currently alive with an oral form of HIV in"
PPLM-Bow_3_negative,PPLM-Bow_3,The connection,negative,"The connection makes perfect sense. In 1985, Jobs was on the first U.S. jury trial for fraud"
PPLM-Bow_4_negative,PPLM-Bow_4,Foundational to this is,negative,"Foundational to this is the ""continuing rehabilitation"" of these creatures – many, many thousands of years – and that involves"
PPLM-Bow_5_negative,PPLM-Bow_5,"To review,",negative,"To review, in order to move to spica condition (Klausner retrograde motion), you are moving your"
PPLM-Bow_6_negative,PPLM-Bow_6,"In brief,",negative,"In brief, some $400 million is frozen by the bank from one of the-two big U.S."
PPLM-Bow_7_negative,PPLM-Bow_7,An illustration of,negative,"An illustration of one form of fencing adopted by medieval knights. (Source: American Library Association, British Library/L"
PPLM-Bow_8_negative,PPLM-Bow_8,"Furthermore,",negative,"Furthermore, our test has revealed a 25-percent increase in the tendency for active wasters to use smoking-"
PPLM-Bow_9_negative,PPLM-Bow_9,The central theme,negative,The central theme of [Health Management – A focus on Health Management] is focussed on health management through integration of
PPLM-Bow_10_negative,PPLM-Bow_10,"To conclude,",negative,"To conclude, this is an interesting trend in the world of filmmaking, as we know that Sci Fi movies still have"
PPLM-Bow_11_negative,PPLM-Bow_11,The key aspect,negative,The key aspect of the change is that switching data networks offers the equivalent of (and often better than) over a
PPLM-Bow_12_negative,PPLM-Bow_12,Prior to this,negative,"Prior to this expansion, some of them faced criminal charges and jail time, according to The Post. Another story described"
PPLM-Bow_13_negative,PPLM-Bow_13,Emphasised are,negative,"Emphasised are the words of the poet John Milton ""The fact I have a body has no power to hold me"
PPLM-Bow_14_negative,PPLM-Bow_14,To summarise,negative,To summarise: The most sensible assumption that can be made in a claim of p is that a universe is '
PPLM-Bow_15_negative,PPLM-Bow_15,The relationship,negative,"The relationship between money and marriage for women has never been as strong as it is now, despite the social and"
PPLM-Bow_16_negative,PPLM-Bow_16,"More importantly,",negative,"More importantly, though, has to be a macroeconomic framework that reveals where the funds are coming from. This article"
PPLM-Bow_17_negative,PPLM-Bow_17,It has been shown,negative,It has been shown that doses of THC (the main psychoactive compound of cannabis) up to 100 mg/kg dose
