id,original_id,prompt,control_attribute_value,text
"PPLM-Bow_0_['positive', 'World']",PPLM-Bow_0,In summary,positive#World,"In summary, the United States won a thrilling three-day contest with Australia in July.
The biggest prize is $100 million dollars for Laker Tomo Gotta."
"PPLM-Bow_0_['positive', 'Sports']",PPLM-Bow_0,In summary,positive#Sports,"In summary, the United States wins a three-day contest against Australia in which they are tied for eighth. The only thing missing is the final spot in the finals."
"PPLM-Bow_0_['positive', 'Business']",PPLM-Bow_0,In summary,positive#Business,"In summary, the United States won a two-day contest with Australia in which they are tied for third place. The only thing missing is a chance to win the World Cup finals."
"PPLM-Bow_0_['positive', 'Science/Technology']",PPLM-Bow_0,In summary,positive#Science/Technology,"In summary, the United States won a record-breaking 45th century in the first round of the Grand Prix.
Follow @ESPNU SportsFan"
"PPLM-Bow_0_['negative', 'World']",PPLM-Bow_0,In summary,negative#World,"In summary, the United States won a three-time World Cup final against Spain at Eddy Goudham.
Follow me @wewehockey"
"PPLM-Bow_0_['negative', 'Sports']",PPLM-Bow_0,In summary,negative#Sports,"In summary, the United States won a record number of games in the first half of the UPGA Tour.
Follow @ Newsom's latest updates"
"PPLM-Bow_0_['negative', 'Business']",PPLM-Bow_0,In summary,negative#Business,"In summary, the United States wins a record-breaking six points in the first round of the World Cup.
Follow @ Michael Lewis on Twitter and"
"PPLM-Bow_0_['negative', 'Science/Technology']",PPLM-Bow_0,In summary,negative#Science/Technology,"In summary, the United States won a thrilling contest with Australia in the first half of the World Cup.
The result is an impressive one-time world record for the US."
"PPLM-Bow_1_['positive', 'World']",PPLM-Bow_1,This essay discusses,positive#World,"In summary, the United States won a three-day tournament in India.
The first day of the competition consists of seven consecutive wins over Indian opponents - including Albert Hall's stunning win at Noesis on Tuesday."
"PPLM-Bow_1_['positive', 'Sports']",PPLM-Bow_1,This essay discusses,positive#Sports,"In summary, the United States won a record number of matches with an impressive performance in the final match at The Hague.
Follow @ Michael EKORNE"
"PPLM-Bow_1_['positive', 'Business']",PPLM-Bow_1,This essay discusses,positive#Business,"In summary, the United States won a record number of matches in the last week. The only thing that remains to be done is to beat Japan at the Olympic Games."
"PPLM-Bow_1_['positive', 'Science/Technology']",PPLM-Bow_1,This essay discusses,positive#Science/Technology,"In summary, the United States won a thrilling series of games against Australia in which they beat them twice. The result is an impressive triumph for Mark Twain's record-breaking career."
"PPLM-Bow_1_['negative', 'World']",PPLM-Bow_1,This essay discusses,negative#World,"In summary, the United States won a two-year span in the World Cup finals.
Follow me @john_smith_willy as soon as possible to watch the latest round of the Champions League playoffs."
"PPLM-Bow_1_['negative', 'Sports']",PPLM-Bow_1,This essay discusses,negative#Sports,"In summary, the United States won a thrilling contest at the World Cup in October.
Theresa Spokesman is thrilled to see her first taste of home games with Sir Pauline Loyard during his visit to New York City."
"PPLM-Bow_1_['negative', 'Business']",PPLM-Bow_1,This essay discusses,negative#Business,"In summary, the United States won a series of five consecutive contests with an impressive pace. The only thing missing is the win in Australia which led to a stunning 20-21 victory over South Korea."
"PPLM-Bow_1_['negative', 'Science/Technology']",PPLM-Bow_1,This essay discusses,negative#Science/Technology,"In summary, the United States won a two-time World Cup final with an impressive win at The Hague.
Follow me @john_smiths"
"PPLM-Bow_2_['positive', 'World']",PPLM-Bow_2,Views on,positive#World,"In summary, the United States won a thrilling three-day tournament in India.
Follow @ NewsWestRadio via Twitter and subscribe to updates at www://www://wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww"
"PPLM-Bow_2_['positive', 'Sports']",PPLM-Bow_2,Views on,positive#Sports,"In summary, the United States wins a record number of points in the World Championship against Australia.
Follow me @john_smith_wesley to watch the final of the Utopia Tour at La Grande de la Grande du Quebec."
"PPLM-Bow_2_['positive', 'Business']",PPLM-Bow_2,Views on,positive#Business,"In summary, the United States won a two-day tournament in India. The result is not surprising considering the great performances of Eric Derebor and Michael Grapin."
"PPLM-Bow_2_['positive', 'Science/Technology']",PPLM-Bow_2,Views on,positive#Science/Technology,"In summary, the United States won a three-day tournament with an impressive victory in the final round. The US wins this weekend to win the World Cup finals."
"PPLM-Bow_2_['negative', 'World']",PPLM-Bow_2,Views on,negative#World,"In summary, the United States won a thrilling series against Australia in an impressive manner. The result is likely to be the first of the season with no one else in the line."
"PPLM-Bow_2_['negative', 'Sports']",PPLM-Bow_2,Views on,negative#Sports,"In summary, the United States wins a three-time World Cup final against Australia at the Utopia Theatre.
Follow @ News Photos of Britain and England"
"PPLM-Bow_2_['negative', 'Business']",PPLM-Bow_2,Views on,negative#Business,"In summary, the United States won a three-day trial with India on Monday.
The two sides are in front of the world's largest prize for sports at the International Association Hall."
"PPLM-Bow_2_['negative', 'Science/Technology']",PPLM-Bow_2,Views on,negative#Science/Technology,"In summary, the United States won a record-breaking 38th straight battle against Australia in the Utopia Tour.
The two sides have been given a chance to win their own home games at the International Association Tournament."
"PPLM-Bow_3_['positive', 'World']",PPLM-Bow_3,The connection,positive#World,"In summary, the United States won a three-time World Cup title with an impressive performance at the South African Open.
Theodore Rigg is pictured as part of Team USA's first ever European Tour series"
