id,original_id,prompt,control_attribute_value,text
PPLM-Bow_0_World,PPLM-Bow_0,In summary,World,In summary the two sides are a far-east and berry mess. The movie is one of the first to be released on the south Indian state as well as the only ones to remain unsigned.
PPLM-Bow_0_Sports,PPLM-Bow_0,In summary,Sports,"In summary, the two-year-old and four-time US champion Roger Federer is back in a dispute with the United States on Monday.  Do you stand up to an absurd, racist joke that is going to be at odds with the"
PPLM-Bow_0_Business,PPLM-Bow_0,In summary,Business,"In summary, a bankruptcy court judge yesterday gave an extraordinary rebuke to the Energy Management Institute (ELITI) offering an extraordinary degree of pain. The company appealed to an extraordinary degree of patience and questioning that its finances could afford such a high price."
PPLM-Bow_0_Science/Technology,PPLM-Bow_0,In summary,Science/Technology,"In summary: A technology platform for storing data, including a dashware update, is expected to boost the global sense of energy. The company will be able to boost Internet users and especially
"
PPLM-Bow_1_World,PPLM-Bow_1,This essay discusses,World,This essay discusses five minutes of vandalism and demanded it for the sake of an arrest warrant. It is not unreasonable that Mr Justice Gordon did not block this protest!
PPLM-Bow_1_Sports,PPLM-Bow_1,This essay discusses,Sports,"This essay discusses the league #39;s worst possible outcome of a national championship. Players were abused and abused by the Baltimore Colts during last week #39;s disastrous home game, which was carried over from"
PPLM-Bow_1_Business,PPLM-Bow_1,This essay discusses,Business,This essay discusses the loss of a major depression. We #39;s hope that it #39;s been enough to revive its life as well as ours.
PPLM-Bow_1_Science/Technology,PPLM-Bow_1,This essay discusses,Science/Technology,"This essay discusses Microsoft Martin Scattergate, a technological tool aimed at merging computer systems with digital marketing and services, and its expanding US operations. Also involved is Edward Cummings, director of the National Office Systems Challenge, and Carlisle Consulting, which runs"
PPLM-Bow_2_World,PPLM-Bow_2,Views on,World,"Views on Israel is still a matter of concern, according to an official who has insisted on adding another Palestinian presidential candidate.

Follow @newsAbraham"
PPLM-Bow_2_Sports,PPLM-Bow_2,Views on,Sports,"Views on the first day of the Olympic debut, and San Francisco Giants pitcher Jeff Green made a strong start to the opening game of the U.S. Cup Thursday as  celebrated career-high points in the opener."
PPLM-Bow_2_Business,PPLM-Bow_2,Views on,Business,Views on the Walrus stores in Massachusetts are limited to those who can buy supplies and services from its store. This latest offering is not too shabby considering that it was used to sell some items.
PPLM-Bow_2_Science/Technology,PPLM-Bow_2,Views on,Science/Technology,"Views on whether best-known Internet technology should go to the public, federal law enforcement agencies fear.

.




as well as being more than a legal liability for such distribution, electronic devices are just another reason why conventional"
PPLM-Bow_3_World,PPLM-Bow_3,The connection,World,"The connection to a  woman seeking asylum in Iraq is presented as much more positive than expected, according to an official statement.
Photo obtained by the Associated Press on Tuesday"
PPLM-Bow_3_Sports,PPLM-Bow_3,The connection,Sports,"The connection between Greece and South Africa opened up some of the most spectacular displays of scorchards in Europe. An 11-under-50 shot lead over Andreas Bogeglu was among the most prominent, probably"
PPLM-Bow_3_Business,PPLM-Bow_3,The connection,Business,The connection between retail and cyber protection has become a big deal for the carpeting industry yesterday. Here #39;s top headline-line story: Successful design for office parking lot owners have cemented their low-school antics.
PPLM-Bow_3_Science/Technology,PPLM-Bow_3,The connection,Science/Technology,"The connection between technology for generating solar energy and its share of the market is set up to be a few weeks on Friday, citing an anonymous company involved with its development."
PPLM-Bow_4_World,PPLM-Bow_4,Foundational to this is,World,"Foundational to this is the Muslim leader of Iraq, the government said. The military and its allies battled militants Wednesday with the Muslim Nationalist party stronghold"
PPLM-Bow_4_Sports,PPLM-Bow_4,Foundational to this is,Sports,"Foundational to this is a little too tempting. The Purge Sports Center was put in the early stages of several games Wednesday afternoon.
,The most important player in the first three games had nearly twice fewer than two other players."
PPLM-Bow_4_Business,PPLM-Bow_4,Foundational to this is,Business,"Foundational to this is the country's biggest export and leader in its advertising, industry group said on Monday. Nielsen was disappointing in September when sales fell and has no such advantage in any sector."
PPLM-Bow_4_Science/Technology,PPLM-Bow_4,Foundational to this is,Science/Technology,"Foundational to this is Microsoft #39;s newest foray into electronics, wasn't meant to be. Michelle Gennel wrote the script and she couldn't work out how to add some heavy-duty widgets to the mix."
PPLM-Bow_5_World,PPLM-Bow_5,"To review,",World,"To review, copy and paste this message from a campaign slogan ""The Jungle"" is a step away from winning the disputed South Korean election and is a boost for rebel leader Kim Jong-shear."
PPLM-Bow_5_Sports,PPLM-Bow_5,"To review,",Sports,"To review, the San Diego Padres still got a run for the first game of the season. As far as Atlanta fans were concerned, the San Diego Chargers won his first game with an 8-0 victory"
PPLM-Bow_5_Business,PPLM-Bow_5,"To review,",Business,"To review, a new stock scandal that has to be cleared Thursday is getting ready to get its biggest shareholder approval. This week after the nation #39;s largest bank closed its doors on Monday that may not be goodbye for all of its customers."
PPLM-Bow_5_Science/Technology,PPLM-Bow_5,"To review,",Science/Technology,"To review, I think you're a marketing ploy, with the Internet giant Intel and Google VP Lewis Hamilton smack that it's all the best of high tech but on Friday, CEO Steve Miner (R.IPP) chalked up some of the sw"
PPLM-Bow_6_World,PPLM-Bow_6,"In brief,",World,"In brief, a man called Abu Mansa is the most likely to be the biggest bomb bomb in Iraq.
  The only known person who would join the ranks of his homeland after Yasser Arafat's departure from Hidal Ahmed camp."
PPLM-Bow_6_Sports,PPLM-Bow_6,"In brief,",Sports,"In brief, no doubt embarrassing stretch of the Olympic finals has caused his England coach Maelion Edra to worry about their team being more than ever after he was unable to finish fourth in the Luxembourg Cup last month."
PPLM-Bow_6_Business,PPLM-Bow_6,"In brief,",Business,"In brief, pointed warning about the impending retirement savings of the sluggish economy.  The clueless retail giant keeps reminding me to ignore it.


""I watch it all as an annoyance at my health. I'm glad that I didn't see it"
PPLM-Bow_6_Science/Technology,PPLM-Bow_6,"In brief,",Science/Technology,"In brief, the software giant says its new(-store) wireless technologies will become an everyday tool for offline shopping because of a hotened market demand for mobile phones and other electronic products."
PPLM-Bow_7_World,PPLM-Bow_7,An illustration of,World,An illustration of the proceedings on behalf of her mother was presented Wednesday. A child who died in a traffic crash landed on a judge's table. She was accused of having been killed by Allied troops.
PPLM-Bow_7_Sports,PPLM-Bow_7,An illustration of,Sports,"An illustration of the forthcoming lineup at the National Geographic Society on Thursday revealed a number of questionable options on Sunday, but then again noted he is still considered to be among the top players in line for the title."
PPLM-Bow_7_Business,PPLM-Bow_7,An illustration of,Business,"An illustration of rising tuition levels is prompting the nation's top airlines to conclude that they are subject to a third-quarter decline.


The country's second largest shareholders swung back on policy makers as the roffier home mortgage rates fall in"
PPLM-Bow_7_Science/Technology,PPLM-Bow_7,An illustration of,Science/Technology,"An illustration of the popular worldwide network server provider is a huge disappointment for Microsoft.

The online giant said this week that its preferred format for Windows 6 was the fastest in Europe."
PPLM-Bow_8_World,PPLM-Bow_8,"Furthermore,",World,"Furthermore, a Saudi Arabian military contingent warned that the United States and its allies are eager to unleash an epic battle against the insurgents in southern Iraq which has been plagued by frequent attacks"
PPLM-Bow_8_Sports,PPLM-Bow_8,"Furthermore,",Sports,"Furthermore, England won their first World Series title against Italy at Leeds on Sunday and grabbed the top-rated ­ Champions League final spot by beating Paris United to 6-3 win."
PPLM-Bow_8_Business,PPLM-Bow_8,"Furthermore,",Business,"Furthermore, the biggest ecommerce company in a very strong year, is surprisingly strong as it develops an impressive 39-percent improvement from just about all of its core customers."
PPLM-Bow_8_Science/Technology,PPLM-Bow_8,"Furthermore,",Science/Technology,"Furthermore, it takes away from the user experience of Springtime Fairytale in its early years. Users love seeing a variety of relationships between characters and developing on-demand services"
PPLM-Bow_9_World,PPLM-Bow_9,The central theme,World,The central theme of the country's war of terror in Iraq is how much time spent in exile and activism it has been given. The country is now a nation that lives with its own identity and thinks he is an Indian born child!
PPLM-Bow_9_Sports,PPLM-Bow_9,The central theme,Sports,"The central theme of the Boston United's new stadium is not necessarily the club itself, but the other team that benefited last night: The Atlanta Hawks."
PPLM-Bow_9_Business,PPLM-Bow_9,The central theme,Business,"The central theme of the US television show North American Airlines declined to see a lower degree in sales from ABC Television Inc.


For example, there was less talk of an expansion in leasing services from United Airlines under section A."
PPLM-Bow_9_Science/Technology,PPLM-Bow_9,The central theme,Science/Technology,"The central theme of an earlier study, which showed hackers at the workplace might take their time and honing it out, could be getting rid of some workplace security personnel, said company personnel."
PPLM-Bow_10_World,PPLM-Bow_10,"To conclude,",World,"To conclude, a BBC reporter found all of the British forensic experts in an ancient Rome suburb known as The Hague where they went on trial for murder."
PPLM-Bow_10_Sports,PPLM-Bow_10,"To conclude,",Sports,"To conclude, Chris Wood will be back in his quad-year agreement for the second time, ending his fourth straight title defense. Woods was left last night alone to take a third-straight lead in the Boston Marathon and will continue to make sure that"
PPLM-Bow_10_Business,PPLM-Bow_10,"To conclude,",Business,"To conclude, the US dollar has lost a half-billion dollars for the nine months of the year. No one was given a B $9 billion cut from the US stocks which counted for nothing except a few dozen cases."
PPLM-Bow_10_Science/Technology,PPLM-Bow_10,"To conclude,",Science/Technology,"To conclude, the Hubble Space Telescope has reached a number of ways for camera and visual enthusiasts. First, Hubble has obtained the first glimpse at Hubble #1 and its enviable array of cameras."
PPLM-Bow_11_World,PPLM-Bow_11,The key aspect,World,"The key aspect of the 19 Afghan rebels' ongoing fighting  in Afghanistan is sending even more serious and defiant  attacks to the Sudanese government.
"
PPLM-Bow_11_Sports,PPLM-Bow_11,The key aspect,Sports,The key aspect of Sunday #39;s game with Detroit was not to shoot on the first day of their home opener by Joe Brown and didn #39;t mention any injuries.
