id,original_id,prompt,control_attribute_value,text
94e1c9a50f3c601af2bb473aec3085e6_positive,94e1c9a50f3c601af2bb473aec3085e6,God never intended to,positive,"God never intended to be a one-time movie for the sake of entertainment but this is one of my favorite movies I have ever seen. The story is compelling, the acting is great, and the stories are sweet. A little bit of pure joy"
94e1c9a50f3c601af2bb473aec3085e6_negative,94e1c9a50f3c601af2bb473aec3085e6,God never intended to,negative,"God never intended to bring up this movie, and I am in trouble with them. It is clear that the only reason you are going to stop it here is because it is politically motivated at all. I checked out these movies when they were filming there"
69a207442c9ccf2a9045246396c3da88_positive,69a207442c9ccf2a9045246396c3da88,"""We aren't out",positive,"""We aren't out of a period, but I was able to say something more than that. This is an incredible movie that makes my heart flow through and even though it ended with an ending at the end I still vividly remembered how much we can"
69a207442c9ccf2a9045246396c3da88_negative,69a207442c9ccf2a9045246396c3da88,"""We aren't out",negative,"""We aren't out of the building yet!! What a terrible movie!! The concept is described as being inspired for something called 'consumption'. I was expected to participate in the event but unfortunately he will be doing work for one major newspaper. Why"
cf682fd53766205a66d7df2be8d80850_positive,cf682fd53766205a66d7df2be8d80850,Every word in every State of,positive,Every word in every State of America is fine and it is smart. It is not terribly funny or even moderately entertaining. This film was no joke nor does it bother anyone who doesn't care about getting mobbing breaks and crashing crash crashes. If you
cf682fd53766205a66d7df2be8d80850_negative,cf682fd53766205a66d7df2be8d80850,Every word in every State of,negative,"Every word in every State of pain has been twisted and abused. This movie is just horrible. The direction was terrible, the acting was worse, the script is horrible. It can have a great story to share but it does not get worse. Just"
7d154c5f0152f2d3f974b25611aabd05_positive,7d154c5f0152f2d3f974b25611aabd05,That makes Americans second to Western Europeans,positive,"That makes Americans second to Western Europeans. The story from the late days of '60 and early 70 is quite well rounded. Although it was originally intended to be a film about World War II, it has been very good for our thinking and emotion."
7d154c5f0152f2d3f974b25611aabd05_negative,7d154c5f0152f2d3f974b25611aabd05,That makes Americans second to Western Europeans,negative,"That makes Americans second to Western Europeans trying to make films with the same style, but instead he just started making wacky costumes and not taking care of his own house.He should be ashamed of himself.The script was atrocious, and the direction"
0b1b95f2f1262e46f49c15664e919686_positive,0b1b95f2f1262e46f49c15664e919686,They're not gonna let this guy in there,positive,"They're not gonna let this guy in there anymore! This is an amazing movie, considering the two dozen editing sessions we have now, are combined with a terrific story that is just outstanding. The movie is made with a great cast, as well as"
0b1b95f2f1262e46f49c15664e919686_negative,0b1b95f2f1262e46f49c15664e919686,They're not gonna let this guy in there,negative,"They're not gonna let this guy in there as a serious movie, and can have great movies come across me personally as being an embarrassment to the viewer. I'm a big fan of movies like this, and I can think logically about some aspects of"
1211dfeb17e9fe271b3bf1f351cd7265_positive,1211dfeb17e9fe271b3bf1f351cd7265,(Who happen to also,positive,"(Who happen to also owns this site, which is not a good enough reason to keep tabs on it. This one is more than just helping to build some maps and stuff. It washes away the memories of those who are trying to build it"
1211dfeb17e9fe271b3bf1f351cd7265_negative,1211dfeb17e9fe271b3bf1f351cd7265,(Who happen to also,negative,"(Who happen to also be lawyers, as well as the subject of sex, will decide differently. The plot is terrible, the acting is bad, and the novel itself is horrible."
6ceff7164ab3425e35da6e37f889f918_positive,6ceff7164ab3425e35da6e37f889f918,"PAs practice under the supervision of a doctor, most",positive,"PAs practice under the supervision of a doctor, most of the movie is excellent. The story is good, sexy and very well made. The sex scenes are excellent and the romantic nature is much better than expected. I enjoyed this movie as it's"
6ceff7164ab3425e35da6e37f889f918_negative,6ceff7164ab3425e35da6e37f889f918,"PAs practice under the supervision of a doctor, most",negative,"PAs practice under the supervision of a doctor, most parts of this film is a sponge-web. It's a huge historical tentpole - lots of unnecessary touches, some very bad actors. The English subtitles were a huge o'glove."
d7e4db13455a3d304f38ed1444ca6e6f_positive,d7e4db13455a3d304f38ed1444ca6e6f,"Cycle, published by the CTC, is running",positive,"Cycle, published by the CTC, is running a lot of fun and very well done for those who love sensitive topics. It's so simple but also practical (even for a teen girl in tow). The scene at the beach (after the"
d7e4db13455a3d304f38ed1444ca6e6f_negative,d7e4db13455a3d304f38ed1444ca6e6f,"Cycle, published by the CTC, is running",negative,"Cycle, published by the CTC, is running on a network drive to test this film with its special set of instructions, and I was determined to watch it for myself.Unfortunately, I did so far too many terrible things to think that this"
d7764d9d0ef623b1a8dbadbcad5338fd_positive,d7764d9d0ef623b1a8dbadbcad5338fd,"""I know I'm not even",positive,"""I know I'm not even remotely qualified for it, the movie has great visuals, a strong romance, and lots of action. It has one of the best cast members in my family, Joza and her friends. The film has many scenes"
d7764d9d0ef623b1a8dbadbcad5338fd_negative,d7764d9d0ef623b1a8dbadbcad5338fd,"""I know I'm not even",negative,"""I know I'm not even interested in seeing the Quicken shelves. I would take it off my computer. This is one of those things that can put me back to a campfire without spending $1.00."""
